(n, d, k);[Gematria of ELS];ELS Search Term;Found in WordNumber In Text;WordCoordinatesDWTK;Found in Word In Text;LetterPositionIndex In Word;LetterCoordinatesD5K of First Letter in ELS;Found In Verse
(1267, 3, 4);[8, 10, 300, 40];משיח;305;(36, 2, 16, 3, 305);ליחזקיה;3;(36, 2, 16, 9, 1267);בני אטר ליחזקיה תשעים ושמנה
(1562, 3, 4);[8, 10, 300, 40];משיח;377;(36, 2, 29, 3, 377);חמשים;1;(36, 2, 29, 7, 1562);בני נבו חמשים ושנים
(1773, 3, 4);[8, 10, 300, 40];משיח;429;(36, 2, 37, 4, 429);חמשים;1;(36, 2, 37, 10, 1773);בני אמר אלף חמשים ושנים
(2439, 3, 4);[8, 10, 300, 40];משיח;604;(36, 2, 60, 9, 604);חמשים;1;(36, 2, 60, 30, 2439);בני דליה בני טוביה בני נקודא שש מאות חמשים ושנים
(5377, 6, 4);[8, 10, 300, 40];משיח;1281;(36, 4, 18, 3, 1281);שלחתון;3;(36, 4, 18, 11, 5377);נשתונא די שלחתון עלינא מפרש קרי קדמי
(1788, 9, 4);[8, 10, 300, 40];משיח;432;(36, 2, 38, 2, 432);פשחור;3;(36, 2, 38, 6, 1788);בני פשחור אלף מאתים ארבעים ושבעה
(996, 23, 4);[8, 10, 300, 40];משיח;238;(36, 2, 5, 5, 238);חמשה;1;(36, 2, 5, 14, 996);בני ארח שבע מאות חמשה ושבעים
(1788, 24, 4);[8, 10, 300, 40];משיח;432;(36, 2, 38, 2, 432);פשחור;3;(36, 2, 38, 6, 1788);בני פשחור אלף מאתים ארבעים ושבעה
(2532, 26, 4);[8, 10, 300, 40];משיח;626;(36, 2, 62, 4, 626);המתיחשים;5;(36, 2, 62, 16, 2532);אלה בקשו כתבם המתיחשים ולא נמצאו ויגאלו מן הכהנה
(3721, 28, 4);[8, 10, 300, 40];משיח;891;(36, 3, 9, 17, 891);חנדד;1;(36, 3, 9, 70, 3721);ויעמד ישוע בניו ואחיו קדמיאל ובניו בני יהודה כאחד לנצח על עשה המלאכה בבית האלהים בני חנדד בניהם ואחיהם הלוים
(11313, 30, 4);[8, 10, 300, 40];משיח;2734;(36, 8, 18, 17, 2734);ואחיו;3;(36, 8, 18, 68, 11313);ויביאו לנו כיד אלהינו הטובה עלינו איש שכל מבני מחלי בן לוי בן ישראל ושרביה ובניו ואחיו שמנה עשר
(10439, 38, 4);[8, 10, 300, 40];משיח;2543;(36, 8, 1, 4, 2543);והתיחשם;5;(36, 8, 1, 19, 10439);ואלה ראשי אבתיהם והתיחשם העלים עמי במלכות ארתחשסתא המלך מבבל
(10439, 51, 4);[8, 10, 300, 40];משיח;2543;(36, 8, 1, 4, 2543);והתיחשם;5;(36, 8, 1, 19, 10439);ואלה ראשי אבתיהם והתיחשם העלים עמי במלכות ארתחשסתא המלך מבבל
(13234, 54, 4);[8, 10, 300, 40];משיח;3173;(36, 9, 9, 23, 3173);חרבתיו;1;(36, 9, 9, 91, 13234);כי עבדים אנחנו ובעבדתנו לא עזבנו אלהינו ויט עלינו חסד לפני מלכי פרס לתת לנו מחיה לרומם את בית אלהינו ולהעמיד את חרבתיו ולתת לנו גדר ביהודה ובירושלם
(1367, 71, 4);[8, 10, 300, 40];משיח;330;(36, 2, 21, 3, 330);לחם;2;(36, 2, 21, 8, 1367);בני בית לחם מאה עשרים ושלשה
(10459, 72, 4);[8, 10, 300, 40];משיח;2547;(36, 8, 1, 8, 2547);ארתחשסתא;4;(36, 8, 1, 39, 10459);ואלה ראשי אבתיהם והתיחשם העלים עמי במלכות ארתחשסתא המלך מבבל
(4521, 74, 4);[8, 10, 300, 40];משיח;1079;(36, 4, 7, 2, 1079);ארתחששתא;4;(36, 4, 7, 9, 4521);ובימי ארתחששתא כתב בשלם מתרדת טבאל ושאר כנותו על ארתחששתא מלך פרס וכתב הנשתון כתוב ארמית ומתרגם ארמית
(7536, 93, 4);[8, 10, 300, 40];משיח;1821;(36, 6, 7, 6, 1821);פחת;2;(36, 6, 7, 21, 7536);שבקו לעבידת בית אלהא דך פחת יהודיא ולשבי יהודיא בית אלהא דך יבנון על אתרה
