(n, d, k);[Gematria of ELS];ELS Search Term;Found in WordNumber In Text;WordCoordinatesDWTK;Found in Word In Text;LetterPositionIndex In Word;LetterCoordinatesD5K of First Letter in ELS;Found In Verse
(1580, 3, 4);[8, 10, 300, 40];משיח;398;(39, 2, 6, 18, 398);החכמים;2;(39, 2, 6, 77, 1580);ועתה שלח לי איש חכם לעשות בזהב ובכסף ובנחשת ובברזל ובארגון וכרמיל ותכלת וידע לפתח פתוחים עם החכמים אשר עמי ביהודה ובירושלם אשר הכין דויד אבי
(27459, 3, 4);[8, 10, 300, 40];משיח;6782;(39, 20, 35, 2, 6782);אתחבר;3;(39, 20, 35, 10, 27459);ואחריכן אתחבר יהושפט מלך יהודה עם אחזיה מלך ישראל הוא הרשיע לעשות
(35488, 3, 4);[8, 10, 300, 40];משיח;8754;(39, 26, 3, 7, 8754);וחמשים;2;(39, 26, 3, 23, 35488);בן שש עשרה שנה עזיהו במלכו וחמשים ושתים שנה מלך בירושלם ושם אמו יכיליה מן ירושלם
(48629, 3, 4);[8, 10, 300, 40];משיח;11831;(39, 33, 19, 21, 11831);חוזי;1;(39, 33, 19, 90, 48629);ותפלתו והעתר לו וכל חטאתו ומעלו והמקמות אשר בנה בהם במות והעמיד האשרים והפסלים לפני הכנעו הנם כתובים על דברי חוזי
(49153, 3, 4);[8, 10, 300, 40];משיח;11953;(39, 34, 4, 6, 11953);והחמנים;3;(39, 34, 4, 28, 49153);וינתצו לפניו את מזבחות הבעלים והחמנים אשר למעלה מעליהם גדע והאשרים והפסלים והמסכות שבר והדק ויזרק על פני הקברים הזבחים להם
(9265, 5, 4);[8, 10, 300, 40];משיח;2300;(39, 7, 8, 18, 2300);נחל;2;(39, 7, 8, 61, 9265);ויעש שלמה את החג בעת ההיא שבעת ימים וכל ישראל עמו קהל גדול מאד מלבוא חמת עד נחל מצרים
(327, 6, 4);[8, 10, 300, 40];משיח;82;(39, 1, 6, 6, 82);הנחשת;3;(39, 1, 6, 19, 327);ויעל שלמה שם על מזבח הנחשת לפני יהוה אשר לאהל מועד ויעל עליו עלות אלף
(8310, 6, 4);[8, 10, 300, 40];משיח;2063;(39, 6, 37, 9, 2063);והתחננו;4;(39, 6, 37, 33, 8310);והשיבו אל לבבם בארץ אשר נשבו שם ושבו והתחננו אליך בארץ שבים לאמר חטאנו העוינו ורשענו
(6092, 9, 4);[8, 10, 300, 40];משיח;1481;(39, 6, 6, 6, 1481);ואבחר;4;(39, 6, 6, 26, 6092);ואבחר בירושלם להיות שמי שם ואבחר בדויד להיות על עמי ישראל
(15186, 10, 4);[8, 10, 300, 40];משיח;3779;(39, 11, 14, 6, 3779);ואחזתם;3;(39, 11, 14, 23, 15186);כי עזבו הלוים את מגרשיהם ואחזתם וילכו ליהודה ולירושלם כי הזניחם ירבעם ובניו מכהן ליהוה
(37734, 10, 4);[8, 10, 300, 40];משיח;9294;(39, 28, 6, 2, 9294);פקח;3;(39, 28, 6, 8, 37734);ויהרג פקח בן רמליהו ביהודה מאה ועשרים אלף ביום אחד הכל בני חיל בעזבם את יהוה אלהי אבותם
(52041, 11, 4);[8, 10, 300, 40];משיח;12644;(39, 35, 9, 4, 12644);אחיו;2;(39, 35, 9, 23, 52041);וכונניהו ושמעיהו ונתנאל אחיו וחשביהו ויעיאל ויוזבד שרי הלוים הרימו ללוים לפסחים חמשת אלפים ובקר חמש מאות
(4998, 13, 4);[8, 10, 300, 40];משיח;1217;(39, 5, 3, 7, 1217);בחג;2;(39, 5, 3, 24, 4998);ויקהלו אל המלך כל איש ישראל בחג הוא החדש השבעי
(46453, 14, 4);[8, 10, 300, 40];משיח;11315;(39, 32, 21, 4, 11315);ויכחד;4;(39, 32, 21, 17, 46453);וישלח יהוה מלאך ויכחד כל גבור חיל ונגיד ושר במחנה מלך אשור וישב בבשת פנים לארצו ויבא בית אלהיו ומיציאו מעיו שם הפילהו בחרב
(53849, 15, 4);[8, 10, 300, 40];משיח;13052;(39, 36, 8, 19, 13052);תחתיו;2;(39, 36, 8, 84, 53849);ויתר דברי יהויקים ותעבתיו אשר עשה והנמצא עליו הנם כתובים על ספר מלכי ישראל ויהודה וימלך יהויכין בנו תחתיו
(2359, 16, 4);[8, 10, 300, 40];משיח;589;(39, 2, 16, 17, 589);וחמשים;2;(39, 2, 16, 69, 2359);ויספר שלמה כל האנשים הגירים אשר בארץ ישראל אחרי הספר אשר ספרם דויד אביו וימצאו מאה וחמשים אלף ושלשת אלפים ושש מאות
(9265, 19, 4);[8, 10, 300, 40];משיח;2300;(39, 7, 8, 18, 2300);נחל;2;(39, 7, 8, 61, 9265);ויעש שלמה את החג בעת ההיא שבעת ימים וכל ישראל עמו קהל גדול מאד מלבוא חמת עד נחל מצרים
