(n, d, k);[Gematria of ELS];ELS Search Term;Found in WordNumber In Text;WordCoordinatesDWTK;Found in Word In Text;LetterPositionIndex In Word;LetterCoordinatesD5K of First Letter in ELS;Found In Verse
(24740, 3, 4);[8, 10, 300, 40];משיח;6401;(10, 11, 16, 3, 6401);חדשים;1;(10, 11, 16, 6, 24740);כי ששת חדשים ישב שם יואב וכל ישראל עד הכרית כל זכר באדום
(40368, 3, 4);[8, 10, 300, 40];משיח;10490;(10, 18, 31, 1, 10490);ויקח;4;(10, 18, 31, 4, 40368);ויקח אליהו שתים עשרה אבנים כמספר שבטי בני יעקב אשר היה דבר יהוה אליו לאמר ישראל יהיה שמך
(54009, 3, 4);[8, 10, 300, 40];משיח;14006;(11, 3, 7, 2, 14006);וישלח;5;(11, 3, 7, 9, 54009);וילך וישלח אל יהושפט מלך יהודה לאמר מלך מואב פשע בי התלך אתי אל מואב למלחמה ויאמר אעלה כמוני כמוך כעמי כעמך כסוסי כסוסיך
(76690, 3, 4);[8, 10, 300, 40];משיח;19840;(11, 15, 2, 7, 19840);וחמשים;2;(11, 15, 2, 21, 76690);בן שש עשרה שנה היה במלכו וחמשים ושתים שנה מלך בירושלם ושם אמו יכליהו מירושלם
(78150, 3, 4);[8, 10, 300, 40];משיח;20219;(11, 15, 27, 2, 20219);חמשים;1;(11, 15, 27, 5, 78150);בשנת חמשים ושתים שנה לעזריה מלך יהודה מלך פקח בן רמליהו על ישראל בשמרון עשרים שנה
(26341, 4, 4);[8, 10, 300, 40];משיח;6819;(10, 11, 40, 8, 6819);ויברח;5;(10, 11, 40, 35, 26341);ויבקש שלמה להמית את ירבעם ויקם ירבעם ויברח מצרים אל שישק מלך מצרים ויהי במצרים עד מות שלמה
(78182, 6, 4);[8, 10, 300, 40];משיח;20226;(11, 15, 27, 9, 20226);פקח;3;(11, 15, 27, 37, 78182);בשנת חמשים ושתים שנה לעזריה מלך יהודה מלך פקח בן רמליהו על ישראל בשמרון עשרים שנה
(45046, 7, 4);[8, 10, 300, 40];משיח;11697;(10, 20, 34, 10, 11697);וחוצות;2;(10, 20, 34, 36, 45046);ויאמר אליו הערים אשר לקח אבי מאת אביך אשיב וחוצות תשים לך בדמשק כאשר שם אבי בשמרון ואני בברית אשלחך ויכרת לו ברית וישלחהו
(14718, 8, 4);[8, 10, 300, 40];משיח;3799;(10, 7, 32, 10, 3799);האחד;3;(10, 7, 32, 56, 14718);וארבעת האופנים למתחת למסגרות וידות האופנים במכונה וקומת האופן האחד אמה וחצי האמה
(77747, 8, 4);[8, 10, 300, 40];משיח;20118;(11, 15, 20, 14, 20118);חמשים;1;(11, 15, 20, 46, 77747);ויצא מנחם את הכסף על ישראל על כל גבורי החיל לתת למלך אשור חמשים שקלים כסף לאיש אחד וישב מלך אשור ולא עמד שם בארץ
(15086, 10, 4);[8, 10, 300, 40];משיח;3885;(10, 7, 39, 4, 3885);חמש;1;(10, 7, 39, 13, 15086);ויתן את המכנות חמש על כתף הבית מימין וחמש על כתף הבית משמאלו ואת הים נתן מכתף הבית הימנית קדמה ממול נגב
(51388, 10, 4);[8, 10, 300, 40];משיח;13336;(11, 1, 11, 7, 13336);וחמשיו;2;(11, 1, 11, 25, 51388);וישב וישלח אליו שר חמשים אחר וחמשיו ויען וידבר אליו איש האלהים כה אמר המלך מהרה רדה
(53229, 11, 4);[8, 10, 300, 40];משיח;13806;(11, 2, 17, 6, 13806);שלחו;3;(11, 2, 17, 20, 53229);ויפצרו בו עד בש ויאמר שלחו וישלחו חמשים איש ויבקשו שלשה ימים ולא מצאהו
(23561, 12, 4);[8, 10, 300, 40];משיח;6101;(10, 10, 25, 4, 6101);מנחתו;3;(10, 10, 25, 15, 23561);והמה מבאים איש מנחתו כלי כסף וכלי זהב ושלמות ונשק ובשמים סוסים ופרדים דבר שנה בשנה
(1968, 13, 4);[8, 10, 300, 40];משיח;509;(10, 1, 34, 14, 509);יחי;2;(10, 1, 34, 56, 1968);ומשח אתו שם צדוק הכהן ונתן הנביא למלך על ישראל ותקעתם בשופר ואמרתם יחי המלך שלמה
(55879, 13, 4);[8, 10, 300, 40];משיח;14492;(11, 4, 8, 10, 14492);ותחזק;3;(11, 4, 8, 38, 55879);ויהי היום ויעבר אלישע אל שונם ושם אשה גדולה ותחזק בו לאכל לחם ויהי מדי עברו יסר שמה לאכל לחם
(77618, 13, 4);[8, 10, 300, 40];משיח;20082;(11, 15, 18, 13, 20082);החטיא;2;(11, 15, 18, 43, 77618);ויעש הרע בעיני יהוה לא סר מעל חטאות ירבעם בן נבט אשר החטיא את ישראל כל ימיו
(98187, 13, 4);[8, 10, 300, 40];משיח;25350;(11, 25, 26, 8, 25350);החילים;2;(11, 25, 26, 27, 98187);ויקמו כל העם מקטן ועד גדול ושרי החילים ויבאו מצרים כי יראו מפני כשדים
(10351, 14, 4);[8, 10, 300, 40];משיח;2737;(10, 5, 28, 5, 2737);בחדש;2;(10, 5, 28, 23, 10351);וישלחם לבנונה עשרת אלפים בחדש חליפות חדש יהיו בלבנון שנים חדשים בביתו ואדנירם על המס
(12271, 16, 4);[8, 10, 300, 40];משיח;3209;(10, 6, 31, 2, 3209);פתח;3;(10, 6, 31, 6, 12271);ואת פתח הדביר עשה דלתות עצי שמן האיל מזוזות חמשית
(50640, 17, 4);[8, 10, 300, 40];משיח;13144;(11, 1, 1, 4, 13144);אחרי;2;(11, 1, 1, 17, 50640);ויפשע מואב בישראל אחרי מות אחאב
(9638, 18, 4);[8, 10, 300, 40];משיח;2545;(10, 5, 17, 22, 2545);תחת;2;(10, 5, 17, 73, 9638);אתה ידעת את דוד אבי כי לא יכל לבנות בית לשם יהוה אלהיו מפני המלחמה אשר סבבהו עד תת יהוה אתם תחת כפות רגלו
(9954, 18, 4);[8, 10, 300, 40];משיח;2634;(10, 5, 22, 2, 2634);חירם;1;(10, 5, 22, 6, 9954);וישלח חירם אל שלמה לאמר שמעתי את אשר שלחת אלי אני אעשה את כל חפצך בעצי ארזים ובעצי ברושים
(54531, 18, 4);[8, 10, 300, 40];משיח;14141;(11, 3, 14, 3, 14141);חי;1;(11, 3, 14, 11, 54531);ויאמר אלישע חי יהוה צבאות אשר עמדתי לפניו כי לולי פני יהושפט מלך יהודה אני נשא אם אביט אליך ואם אראך
(80423, 18, 4);[8, 10, 300, 40];משיח;20815;(11, 17, 4, 7, 20815);שלח;3;(11, 17, 4, 26, 80423);וימצא מלך אשור בהושע קשר אשר שלח מלאכים אל סוא מלך מצרים ולא העלה מנחה למלך אשור כשנה בשנה ויעצרהו מלך אשור ויאסרהו בית כלא
(20336, 19, 4);[8, 10, 300, 40];משיח;5254;(10, 9, 1, 13, 5254);חשק;1;(10, 9, 1, 43, 20336);ויהי ככלות שלמה לבנות את בית יהוה ואת בית המלך ואת כל חשק שלמה אשר חפץ לעשות
(36146, 19, 4);[8, 10, 300, 40];משיח;9390;(10, 16, 19, 12, 9390);ובחטאתו;3;(10, 16, 19, 46, 36146);על חטאתו אשר חטא לעשות הרע בעיני יהוה ללכת בדרך ירבעם ובחטאתו אשר עשה להחטיא את ישראל
(36696, 21, 4);[8, 10, 300, 40];משיח;9534;(10, 16, 28, 8, 9534);אחאב;2;(10, 16, 28, 34, 36696);וישכב עמרי עם אבתיו ויקבר בשמרון וימלך אחאב בנו תחתיו
(3112, 24, 4);[8, 10, 300, 40];משיח;799;(10, 1, 53, 1, 799);וישלח;5;(10, 1, 53, 5, 3112);וישלח המלך שלמה וירדהו מעל המזבח ויבא וישתחו למלך שלמה ויאמר לו שלמה לך לביתך
(59390, 24, 4);[8, 10, 300, 40];משיח;15405;(11, 5, 21, 3, 15405);אחרי;2;(11, 5, 21, 12, 59390);וירדף גיחזי אחרי נעמן ויראה נעמן רץ אחריו ויפל מעל המרכבה לקראתו ויאמר השלום
(68764, 24, 4);[8, 10, 300, 40];משיח;17807;(11, 10, 13, 5, 17807);אחזיהו;2;(11, 10, 13, 15, 68764);ויהוא מצא את אחי אחזיהו מלך יהודה ויאמר מי אתם ויאמרו אחי אחזיהו אנחנו ונרד לשלום בני המלך ובני הגבירה
(77960, 25, 4);[8, 10, 300, 40];משיח;20173;(11, 15, 24, 7, 20173);מחטאות;2;(11, 15, 24, 22, 77960);ויעש הרע בעיני יהוה לא סר מחטאות ירבעם בן נבט אשר החטיא את ישראל
(94015, 25, 4);[8, 10, 300, 40];משיח;24293;(11, 23, 21, 8, 24293);פסח;3;(11, 23, 21, 25, 94015);ויצו המלך את כל העם לאמר עשו פסח ליהוה אלהיכם ככתוב על ספר הברית הזה
(8736, 26, 4);[8, 10, 300, 40];משיח;2305;(10, 5, 1, 14, 2305);מנחה;3;(10, 5, 1, 57, 8736);ושלמה היה מושל בכל הממלכות מן הנהר ארץ פלשתים ועד גבול מצרים מגשים מנחה ועבדים את שלמה כל ימי חייו
(36301, 26, 4);[8, 10, 300, 40];משיח;9430;(10, 16, 22, 4, 9430);אחרי;2;(10, 16, 22, 13, 36301);ויחזק העם אשר אחרי עמרי את העם אשר אחרי תבני בן גינת וימת תבני וימלך עמרי
(94495, 27, 4);[8, 10, 300, 40];משיח;24419;(11, 23, 27, 18, 24419);בחרתי;2;(11, 23, 27, 65, 94495);ויאמר יהוה גם את יהודה אסיר מעל פני כאשר הסרתי את ישראל ומאסתי את העיר הזאת אשר בחרתי את ירושלם ואת הבית אשר אמרתי יהיה שמי שם
(97925, 27, 4);[8, 10, 300, 40];משיח;25287;(11, 25, 23, 20, 25287);ויוחנן;4;(11, 25, 23, 84, 97925);וישמעו כל שרי החילים המה והאנשים כי הפקיד מלך בבל את גדליהו ויבאו אל גדליהו המצפה וישמעאל בן נתניה ויוחנן בן קרח ושריה בן תנחמת הנטפתי ויאזניהו בן המעכתי המה ואנשיהם
(97598, 30, 4);[8, 10, 300, 40];משיח;25206;(11, 25, 19, 12, 25206);וחמשה;2;(11, 25, 19, 41, 97598);ומן העיר לקח סריס אחד אשר הוא פקיד על אנשי המלחמה וחמשה אנשים מראי פני המלך אשר נמצאו בעיר ואת הספר שר הצבא המצבא את עם הארץ וששים איש מעם הארץ הנמצאים בעיר
(94795, 31, 4);[8, 10, 300, 40];משיח;24492;(11, 23, 31, 8, 24492);חדשים;1;(11, 23, 31, 31, 94795);בן עשרים ושלש שנה יהואחז במלכו ושלשה חדשים מלך בירושלם ושם אמו חמוטל בת ירמיהו מלבנה
(57735, 32, 4);[8, 10, 300, 40];משיח;14978;(11, 4, 41, 3, 14978);קמח;3;(11, 4, 41, 12, 57735);ויאמר וקחו קמח וישלך אל הסיר ויאמר צק לעם ויאכלו ולא היה דבר רע בסיר
(60185, 33, 4);[8, 10, 300, 40];משיח;15604;(11, 6, 7, 6, 15604);ויקחהו;4;(11, 6, 7, 22, 60185);ויאמר הרם לך וישלח ידו ויקחהו
(19199, 34, 4);[8, 10, 300, 40];משיח;4960;(10, 8, 51, 3, 4960);ונחלתך;3;(10, 8, 51, 8, 19199);כי עמך ונחלתך הם אשר הוצאת ממצרים מתוך כור הברזל
(63081, 35, 4);[8, 10, 300, 40];משיח;16347;(11, 7, 14, 5, 16347);וישלח;5;(11, 7, 14, 21, 63081);ויקחו שני רכב סוסים וישלח המלך אחרי מחנה ארם לאמר לכו וראו
(2952, 36, 4);[8, 10, 300, 40];משיח;757;(10, 1, 50, 7, 757);ויחזק;3;(10, 1, 50, 29, 2952);ואדניהו ירא מפני שלמה ויקם וילך ויחזק בקרנות המזבח
(81991, 36, 4);[8, 10, 300, 40];משיח;21202;(11, 17, 26, 17, 21202);וישלח;5;(11, 17, 26, 70, 81991);ויאמרו למלך אשור לאמר הגוים אשר הגלית ותושב בערי שמרון לא ידעו את משפט אלהי הארץ וישלח בם את האריות והנם ממיתים אותם כאשר אינם ידעים את משפט אלהי הארץ
(21996, 37, 4);[8, 10, 300, 40];משיח;5689;(10, 9, 27, 1, 5689);וישלח;5;(10, 9, 27, 5, 21996);וישלח חירם באני את עבדיו אנשי אניות ידעי הים עם עבדי שלמה
(74246, 37, 4);[8, 10, 300, 40];משיח;19213;(11, 13, 18, 3, 19213);החצים;2;(11, 13, 18, 9, 74246);ויאמר קח החצים ויקח ויאמר למלך ישראל הך ארצה ויך שלש פעמים ויעמד
(1619, 39, 4);[8, 10, 300, 40];משיח;417;(10, 1, 29, 4, 417);חי;1;(10, 1, 29, 15, 1619);וישבע המלך ויאמר חי יהוה אשר פדה את נפשי מכל צרה
(30182, 39, 4);[8, 10, 300, 40];משיח;7840;(10, 13, 22, 12, 7840);לחם;2;(10, 13, 22, 42, 30182);ותשב ותאכל לחם ותשת מים במקום אשר דבר אליך אל תאכל לחם ואל תשת מים לא תבוא נבלתך אל קבר אבתיך
(23111, 40, 4);[8, 10, 300, 40];משיח;5983;(10, 10, 17, 5, 5983);שחוט;2;(10, 10, 17, 18, 23111);ושלש מאות מגנים זהב שחוט שלשת מנים זהב יעלה על המגן האחת ויתנם המלך בית יער הלבנון
(495, 43, 4);[8, 10, 300, 40];משיח;121;(10, 1, 9, 8, 121);הזחלת;3;(10, 1, 9, 31, 495);ויזבח אדניהו צאן ובקר ומריא עם אבן הזחלת אשר אצל עין רגל ויקרא את כל אחיו בני המלך ולכל אנשי יהודה עבדי המלך
(40856, 43, 4);[8, 10, 300, 40];משיח;10612;(10, 18, 38, 17, 10612);לחכה;2;(10, 18, 38, 62, 40856);ותפל אש יהוה ותאכל את העלה ואת העצים ואת האבנים ואת העפר ואת המים אשר בתעלה לחכה
(19896, 45, 4);[8, 10, 300, 40];משיח;5136;(10, 8, 63, 4, 5136);זבח;3;(10, 8, 63, 14, 19896);ויזבח שלמה את זבח השלמים אשר זבח ליהוה בקר עשרים ושנים אלף וצאן מאה ועשרים אלף ויחנכו את בית יהוה המלך וכל בני ישראל
(82838, 45, 4);[8, 10, 300, 40];משיח;21413;(11, 17, 38, 6, 21413);תשכחו;4;(11, 17, 38, 23, 82838);והברית אשר כרתי אתכם לא תשכחו ולא תיראו אלהים אחרים
(59117, 48, 4);[8, 10, 300, 40];משיח;15335;(11, 5, 17, 17, 15335);וזבח;4;(11, 5, 17, 60, 59117);ויאמר נעמן ולא יתן נא לעבדך משא צמד פרדים אדמה כי לוא יעשה עוד עבדך עלה וזבח לאלהים אחרים כי אם ליהוה
(61008, 48, 4);[8, 10, 300, 40];משיח;15814;(11, 6, 20, 12, 15814);ויפקח;5;(11, 6, 20, 49, 61008);ויהי כבאם שמרון ויאמר אלישע יהוה פקח את עיני אלה ויראו ויפקח יהוה את עיניהם ויראו והנה בתוך שמרון
(3587, 49, 4);[8, 10, 300, 40];משיח;923;(10, 2, 6, 2, 923);כחכמתך;2;(10, 2, 6, 7, 3587);ועשית כחכמתך ולא תורד שיבתו בשלם שאל
