(n, d, k);[Gematria of ELS];ELS Search Term;Found in WordNumber In Text;WordCoordinatesDWTK;Found in Word In Text;LetterPositionIndex In Word;LetterCoordinatesD5K of First Letter in ELS;Found In Verse
(1267, 3, 4);[8, 10, 300, 40];משיח;305;(36, 2, 16, 3, 305);ליחזקיה;3;(36, 2, 16, 9, 1267);בני אטר ליחזקיה תשעים ושמנה
(1562, 3, 4);[8, 10, 300, 40];משיח;377;(36, 2, 29, 3, 377);חמשים;1;(36, 2, 29, 7, 1562);בני נבו חמשים ושנים
(1773, 3, 4);[8, 10, 300, 40];משיח;429;(36, 2, 37, 4, 429);חמשים;1;(36, 2, 37, 10, 1773);בני אמר אלף חמשים ושנים
(2439, 3, 4);[8, 10, 300, 40];משיח;604;(36, 2, 60, 9, 604);חמשים;1;(36, 2, 60, 30, 2439);בני דליה בני טוביה בני נקודא שש מאות חמשים ושנים
(23767, 3, 4);[8, 10, 300, 40];משיח;5694;(37, 6, 15, 6, 5694);לחמשים;2;(37, 6, 15, 28, 23767);ותשלם החומה בעשרים וחמשה לאלול לחמשים ושנים יום
(24624, 3, 4);[8, 10, 300, 40];משיח;5896;(37, 7, 10, 5, 5896);חמשים;1;(37, 7, 10, 13, 24624);בני ארח שש מאות חמשים ושנים
(24898, 3, 4);[8, 10, 300, 40];משיח;5964;(37, 7, 21, 3, 5964);לחזקיה;2;(37, 7, 21, 8, 24898);בני אטר לחזקיה תשעים ושמנה
(25195, 3, 4);[8, 10, 300, 40];משיח;6036;(37, 7, 33, 4, 6036);חמשים;1;(37, 7, 33, 11, 25195);אנשי נבו אחר חמשים ושנים
(25386, 3, 4);[8, 10, 300, 40];משיח;6083;(37, 7, 40, 4, 6083);חמשים;1;(37, 7, 40, 10, 25386);בני אמר אלף חמשים ושנים
(33724, 3, 4);[8, 10, 300, 40];משיח;8055;(37, 11, 25, 2, 8055);החצרים;2;(37, 11, 25, 5, 33724);ואל החצרים בשדתם מבני יהודה ישבו בקרית הארבע ובנתיה ובדיבן ובנתיה וביקבצאל וחצריה
(5377, 6, 4);[8, 10, 300, 40];משיח;1281;(36, 4, 18, 3, 1281);שלחתון;3;(36, 4, 18, 11, 5377);נשתונא די שלחתון עלינא מפרש קרי קדמי
(25542, 7, 4);[8, 10, 300, 40];משיח;6120;(37, 7, 45, 11, 6120);חטיטא;1;(37, 7, 45, 37, 25542);השערים בני שלום בני אטר בני טלמן בני עקוב בני חטיטא בני שבי מאה שלשים ושמנה
(34925, 8, 4);[8, 10, 300, 40];משיח;8312;(37, 12, 27, 1, 8312);ובחנכת;3;(37, 12, 27, 3, 34925);ובחנכת חומת ירושלם בקשו את הלוים מכל מקומתם להביאם לירושלם לעשת חנכה ושמחה ובתודות ובשיר מצלתים נבלים ובכנרות
(1788, 9, 4);[8, 10, 300, 40];משיח;432;(36, 2, 38, 2, 432);פשחור;3;(36, 2, 38, 6, 1788);בני פשחור אלף מאתים ארבעים ושבעה
(25401, 9, 4);[8, 10, 300, 40];משיח;6086;(37, 7, 41, 2, 6086);פשחור;3;(37, 7, 41, 6, 25401);בני פשחור אלף מאתים ארבעים ושבעה
(25542, 10, 4);[8, 10, 300, 40];משיח;6120;(37, 7, 45, 11, 6120);חטיטא;1;(37, 7, 45, 37, 25542);השערים בני שלום בני אטר בני טלמן בני עקוב בני חטיטא בני שבי מאה שלשים ושמנה
(20973, 11, 4);[8, 10, 300, 40];משיח;5027;(37, 4, 10, 10, 5027);מחזיקים;2;(37, 4, 10, 38, 20973);ויהי מן היום ההוא חצי נערי עשים במלאכה וחצים מחזיקים והרמחים המגנים והקשתות והשרינים והשרים אחרי כל בית יהודה
(37081, 12, 4);[8, 10, 300, 40];משיח;8788;(37, 13, 14, 7, 8788);תמח;3;(37, 13, 14, 21, 37081);זכרה לי אלהי על זאת ואל תמח חסדי אשר עשיתי בבית אלהי ובמשמריו
(28705, 13, 4);[8, 10, 300, 40];משיח;6884;(37, 9, 8, 13, 6884);החתי;2;(37, 9, 8, 49, 28705);ומצאת את לבבו נאמן לפניך וכרות עמו הברית לתת את ארץ הכנעני החתי האמרי והפרזי והיבוסי והגרגשי לתת לזרעו ותקם את דבריך כי צדיק אתה
