(n, d, k);[Gematria of ELS];ELS Search Term;Found in WordNumber In Text;WordCoordinatesDWTK;Found in Word In Text;LetterPositionIndex In Word;LetterCoordinatesD5K of First Letter in ELS;Found In Verse
(2876, 1, 4);[8, 10, 300, 40];משיח;728;(38, 2, 32, 3, 728);אחי;2;(38, 2, 32, 9, 2876);ובני ידע אחי שמי יתר ויונתן וימת יתר לא בנים
(46138, 3, 4);[8, 10, 300, 40];משיח;11143;(39, 2, 6, 18, 11143);החכמים;2;(39, 2, 6, 77, 46138);ועתה שלח לי איש חכם לעשות בזהב ובכסף ובנחשת ובברזל ובארגון וכרמיל ותכלת וידע לפתח פתוחים עם החכמים אשר עמי ביהודה ובירושלם אשר הכין דויד אבי
(72017, 3, 4);[8, 10, 300, 40];משיח;17527;(39, 20, 35, 2, 17527);אתחבר;3;(39, 20, 35, 10, 72017);ואחריכן אתחבר יהושפט מלך יהודה עם אחזיה מלך ישראל הוא הרשיע לעשות
(80046, 3, 4);[8, 10, 300, 40];משיח;19499;(39, 26, 3, 7, 19499);וחמשים;2;(39, 26, 3, 23, 80046);בן שש עשרה שנה עזיהו במלכו וחמשים ושתים שנה מלך בירושלם ושם אמו יכיליה מן ירושלם
(93187, 3, 4);[8, 10, 300, 40];משיח;22576;(39, 33, 19, 21, 22576);חוזי;1;(39, 33, 19, 90, 93187);ותפלתו והעתר לו וכל חטאתו ומעלו והמקמות אשר בנה בהם במות והעמיד האשרים והפסלים לפני הכנעו הנם כתובים על דברי חוזי
(93711, 3, 4);[8, 10, 300, 40];משיח;22698;(39, 34, 4, 6, 22698);והחמנים;3;(39, 34, 4, 28, 93711);וינתצו לפניו את מזבחות הבעלים והחמנים אשר למעלה מעליהם גדע והאשרים והפסלים והמסכות שבר והדק ויזרק על פני הקברים הזבחים להם
(17546, 5, 4);[8, 10, 300, 40];משיח;4286;(38, 11, 11, 8, 4286);חכמוני;1;(38, 11, 11, 30, 17546);ואלה מספר הגברים אשר לדויד ישבעם בן חכמוני ראש השלושים הוא עורר את חניתו על שלש מאות חלל בפעם אחת
(22040, 5, 4);[8, 10, 300, 40];משיח;5365;(38, 14, 1, 10, 5365);וחרשי;2;(38, 14, 1, 37, 22040);וישלח חירם מלך צר מלאכים אל דויד ועצי ארזים וחרשי קיר וחרשי עצים לבנות לו בית
(31190, 5, 4);[8, 10, 300, 40];משיח;7612;(38, 21, 12, 11, 7612);וחרב;2;(38, 21, 12, 39, 31190);אם שלוש שנים רעב ואם שלשה חדשים נספה מפני צריך וחרב אויבך למשגת ואם שלשת ימים חרב יהוה ודבר בארץ ומלאך יהוה משחית בכל גבול ישראל ועתה ראה מה אשיב את שלחי דבר
(53823, 5, 4);[8, 10, 300, 40];משיח;13045;(39, 7, 8, 18, 13045);נחל;2;(39, 7, 8, 61, 53823);ויעש שלמה את החג בעת ההיא שבעת ימים וכל ישראל עמו קהל גדול מאד מלבוא חמת עד נחל מצרים
(3934, 6, 4);[8, 10, 300, 40];משיח;996;(38, 3, 4, 4, 996);בחברון;2;(38, 3, 4, 11, 3934);ששה נולד לו בחברון וימלך שם שבע שנים וששה חדשים ושלשים ושלוש שנה מלך בירושלם
(44885, 6, 4);[8, 10, 300, 40];משיח;10827;(39, 1, 6, 6, 10827);הנחשת;3;(39, 1, 6, 19, 44885);ויעל שלמה שם על מזבח הנחשת לפני יהוה אשר לאהל מועד ויעל עליו עלות אלף
(52868, 6, 4);[8, 10, 300, 40];משיח;12808;(39, 6, 37, 9, 12808);והתחננו;4;(39, 6, 37, 33, 52868);והשיבו אל לבבם בארץ אשר נשבו שם ושבו והתחננו אליך בארץ שבים לאמר חטאנו העוינו ורשענו
(6432, 8, 4);[8, 10, 300, 40];משיח;1591;(38, 4, 41, 17, 1591);ויחרימם;3;(38, 4, 41, 75, 6432);ויבאו אלה הכתובים בשמות בימי יחזקיהו מלך יהודה ויכו את אהליהם ואת המעינים אשר נמצאו שמה ויחרימם עד היום הזה וישבו תחתיהם כי מרעה לצאנם שם
(15204, 8, 4);[8, 10, 300, 40];משיח;3711;(38, 9, 25, 1, 3711);ואחיהם;3;(38, 9, 25, 3, 15204);ואחיהם בחצריהם לבוא לשבעת הימים מעת אל עת עם אלה
(7801, 9, 4);[8, 10, 300, 40];משיח;1919;(38, 5, 25, 5, 1919);אחרי;2;(38, 5, 25, 25, 7801);וימעלו באלהי אבותיהם ויזנו אחרי אלהי עמי הארץ אשר השמיד אלהים מפניהם
(50650, 9, 4);[8, 10, 300, 40];משיח;12226;(39, 6, 6, 6, 12226);ואבחר;4;(39, 6, 6, 26, 50650);ואבחר בירושלם להיות שמי שם ואבחר בדויד להיות על עמי ישראל
(9958, 10, 4);[8, 10, 300, 40];משיח;2467;(38, 6, 46, 4, 2467);ממשפחת;5;(38, 6, 46, 20, 9958);ולבני קהת הנותרים ממשפחת המטה ממחצית מטה חצי מנשה בגורל ערים עשר
(59744, 10, 4);[8, 10, 300, 40];משיח;14524;(39, 11, 14, 6, 14524);ואחזתם;3;(39, 11, 14, 23, 59744);כי עזבו הלוים את מגרשיהם ואחזתם וילכו ליהודה ולירושלם כי הזניחם ירבעם ובניו מכהן ליהוה
(82292, 10, 4);[8, 10, 300, 40];משיח;20039;(39, 28, 6, 2, 20039);פקח;3;(39, 28, 6, 8, 82292);ויהרג פקח בן רמליהו ביהודה מאה ועשרים אלף ביום אחד הכל בני חיל בעזבם את יהוה אלהי אבותם
(14609, 11, 4);[8, 10, 300, 40];משיח;3570;(38, 9, 13, 1, 3570);ואחיהם;3;(38, 9, 13, 3, 14609);ואחיהם ראשים לבית אבותם אלף ושבע מאות וששים גבורי חיל מלאכת עבודת בית האלהים
(96599, 11, 4);[8, 10, 300, 40];משיח;23389;(39, 35, 9, 4, 23389);אחיו;2;(39, 35, 9, 23, 96599);וכונניהו ושמעיהו ונתנאל אחיו וחשביהו ויעיאל ויוזבד שרי הלוים הרימו ללוים לפסחים חמשת אלפים ובקר חמש מאות
(49556, 13, 4);[8, 10, 300, 40];משיח;11962;(39, 5, 3, 7, 11962);בחג;2;(39, 5, 3, 24, 49556);ויקהלו אל המלך כל איש ישראל בחג הוא החדש השבעי
(7737, 14, 4);[8, 10, 300, 40];משיח;1906;(38, 5, 24, 11, 1906);ויחדיאל;3;(38, 5, 24, 54, 7737);ואלה ראשי בית אבותם ועפר וישעי ואליאל ועזריאל וירמיה והודויה ויחדיאל אנשים גבורי חיל אנשי שמות ראשים לבית אבותם
(91011, 14, 4);[8, 10, 300, 40];משיח;22060;(39, 32, 21, 4, 22060);ויכחד;4;(39, 32, 21, 17, 91011);וישלח יהוה מלאך ויכחד כל גבור חיל ונגיד ושר במחנה מלך אשור וישב בבשת פנים לארצו ויבא בית אלהיו ומיציאו מעיו שם הפילהו בחרב
(98407, 15, 4);[8, 10, 300, 40];משיח;23797;(39, 36, 8, 19, 23797);תחתיו;2;(39, 36, 8, 84, 98407);ויתר דברי יהויקים ותעבתיו אשר עשה והנמצא עליו הנם כתובים על ספר מלכי ישראל ויהודה וימלך יהויכין בנו תחתיו
(20936, 16, 4);[8, 10, 300, 40];משיח;5091;(38, 12, 39, 10, 5091);חברונה;1;(38, 12, 39, 34, 20936);כל אלה אנשי מלחמה עדרי מערכה בלבב שלם באו חברונה להמליך את דויד על כל ישראל וגם כל שרית ישראל לב אחד להמליך את דויד
(46917, 16, 4);[8, 10, 300, 40];משיח;11334;(39, 2, 16, 17, 11334);וחמשים;2;(39, 2, 16, 69, 46917);ויספר שלמה כל האנשים הגירים אשר בארץ ישראל אחרי הספר אשר ספרם דויד אביו וימצאו מאה וחמשים אלף ושלשת אלפים ושש מאות
(5175, 18, 4);[8, 10, 300, 40];משיח;1287;(38, 4, 12, 9, 1287);תחנה;2;(38, 4, 12, 30, 5175);ואשתון הוליד את בית רפא ואת פסח ואת תחנה אבי עיר נחש אלה אנשי רכה
(29837, 18, 4);[8, 10, 300, 40];משיח;7253;(38, 19, 17, 18, 7253);וילחמו;4;(38, 19, 17, 76, 29837);ויגד לדויד ויאסף את כל ישראל ויעבר הירדן ויבא אלהם ויערך אלהם ויערך דויד לקראת ארם מלחמה וילחמו עמו
(1306, 19, 4);[8, 10, 300, 40];משיח;328;(38, 1, 44, 4, 328);תחתיו;2;(38, 1, 44, 14, 1306);וימת בלע וימלך תחתיו יובב בן זרח מבצרה
(28357, 19, 4);[8, 10, 300, 40];משיח;6888;(38, 18, 10, 27, 6888);ונחשת;3;(38, 18, 10, 103, 28357);וישלח את הדורם בנו אל המלך דויד לשאול לו לשלום ולברכו על אשר נלחם בהדדעזר ויכהו כי איש מלחמות תעו היה הדדעזר וכל כלי זהב וכסף ונחשת
(53823, 19, 4);[8, 10, 300, 40];משיח;13045;(39, 7, 8, 18, 13045);נחל;2;(39, 7, 8, 61, 53823);ויעש שלמה את החג בעת ההיא שבעת ימים וכל ישראל עמו קהל גדול מאד מלבוא חמת עד נחל מצרים
(3692, 20, 4);[8, 10, 300, 40];משיח;942;(38, 2, 54, 10, 942);המנחתי;4;(38, 2, 54, 40, 3692);בני שלמא בית לחם ונטופתי עטרות בית יואב וחצי המנחתי הצרעי
(67789, 20, 4);[8, 10, 300, 40];משיח;16486;(39, 18, 14, 17, 16486);והצליחו;6;(39, 18, 14, 66, 67789);ויבא אל המלך ויאמר המלך אליו מיכה הנלך אל רמת גלעד למלחמה אם אחדל ויאמר עלו והצליחו וינתנו בידכם
(51631, 21, 4);[8, 10, 300, 40];משיח;12487;(39, 6, 21, 3, 12487);תחנוני;2;(39, 6, 21, 9, 51631);ושמעת אל תחנוני עבדך ועמך ישראל אשר יתפללו אל המקום הזה ואתה תשמע ממקום שבתך מן השמים ושמעת וסלחת
(18676, 22, 4);[8, 10, 300, 40];משיח;4562;(38, 11, 33, 3, 4562);אליחבא;4;(38, 11, 33, 16, 18676);עזמות הבחרומי אליחבא השעלבני
(23783, 24, 4);[8, 10, 300, 40];משיח;5772;(38, 15, 19, 6, 5772);נחשת;2;(38, 15, 19, 29, 23783);והמשררים הימן אסף ואיתן במצלתים נחשת להשמיע
(4044, 25, 4);[8, 10, 300, 40];משיח;1021;(38, 3, 6, 1, 1021);ויבחר;4;(38, 3, 6, 4, 4044);ויבחר ואלישמע ואליפלט
(20242, 25, 4);[8, 10, 300, 40];משיח;4922;(38, 12, 24, 9, 4922);חברונה;1;(38, 12, 24, 32, 20242);ואלה מספרי ראשי החלוץ לצבא באו על דויד חברונה להסב מלכות שאול אליו כפי יהוה
(79514, 27, 4);[8, 10, 300, 40];משיח;19370;(39, 25, 23, 8, 19370);יהואחז;5;(39, 25, 23, 30, 79514);ואת אמציהו מלך יהודה בן יואש בן יהואחז תפש יואש מלך ישראל בבית שמש ויביאהו ירושלם ויפרץ בחומת ירושלם משער אפרים עד שער הפונה ארבע מאות אמה
(82784, 27, 4);[8, 10, 300, 40];משיח;20158;(39, 28, 12, 12, 20158);ויחזקיהו;3;(39, 28, 12, 54, 82784);ויקמו אנשים מראשי בני אפרים עזריהו בן יהוחנן ברכיהו בן משלמות ויחזקיהו בן שלם ועמשא בן חדלי על הבאים מן הצבא
(39418, 28, 4);[8, 10, 300, 40];משיח;9534;(38, 27, 4, 7, 9534);ומחלקתו;3;(38, 27, 4, 29, 39418);ועל מחלקת החדש השני דודי האחוחי ומחלקתו ומקלות הנגיד ועל מחלקתו עשרים וארבעה אלף
(44885, 28, 4);[8, 10, 300, 40];משיח;10827;(39, 1, 6, 6, 10827);הנחשת;3;(39, 1, 6, 19, 44885);ויעל שלמה שם על מזבח הנחשת לפני יהוה אשר לאהל מועד ויעל עליו עלות אלף
(7192, 29, 4);[8, 10, 300, 40];משיח;1780;(38, 5, 15, 1, 1780);אחי;2;(38, 5, 15, 2, 7192);אחי בן עבדיאל בן גוני ראש לבית אבותם
(35949, 32, 4);[8, 10, 300, 40];משיח;8760;(38, 24, 22, 5, 8760);יחת;2;(38, 24, 22, 22, 35949);ליצהרי שלמות לבני שלמות יחת
(60401, 32, 4);[8, 10, 300, 40];משיח;14683;(39, 12, 2, 3, 14683);החמישית;2;(39, 12, 2, 10, 60401);ויהי בשנה החמישית למלך רחבעם עלה שישק מלך מצרים על ירושלם כי מעלו ביהוה
(11622, 33, 4);[8, 10, 300, 40];משיח;2850;(38, 7, 11, 15, 2850);למלחמה;4;(38, 7, 11, 61, 11622);כל אלה בני ידיעאל לראשי האבות גבורי חילים שבעה עשר אלף ומאתים יצאי צבא למלחמה
(17677, 33, 4);[8, 10, 300, 40];משיח;4318;(38, 11, 13, 12, 4318);חלקת;1;(38, 11, 13, 45, 17677);הוא היה עם דויד בפס דמים והפלשתים נאספו שם למלחמה ותהי חלקת השדה מלאה שעורים והעם נסו מפני פלשתים
(23131, 34, 4);[8, 10, 300, 40];משיח;5632;(38, 15, 8, 5, 5632);ואחיו;3;(38, 15, 8, 21, 23131);לבני אליצפן שמעיה השר ואחיו מאתים
(41699, 35, 4);[8, 10, 300, 40];משיח;10071;(38, 28, 9, 20, 10071);מחשבות;2;(38, 28, 9, 69, 41699);ואתה שלמה בני דע את אלהי אביך ועבדהו בלב שלם ובנפש חפצה כי כל לבבות דורש יהוה וכל יצר מחשבות מבין אם תדרשנו ימצא לך ואם תעזבנו יזניחך לעד
(80525, 35, 4);[8, 10, 300, 40];משיח;19608;(39, 26, 11, 3, 19608);חיל;1;(39, 26, 11, 11, 80525);ויהי לעזיהו חיל עשה מלחמה יוצאי צבא לגדוד במספר פקדתם ביד יעואל הסופר ומעשיהו השוטר על יד חנניהו משרי המלך
(5118, 37, 4);[8, 10, 300, 40];משיח;1271;(38, 4, 11, 2, 1271);אחי;2;(38, 4, 11, 7, 5118);וכלוב אחי שוחה הוליד את מחיר הוא אבי אשתון
(87150, 37, 4);[8, 10, 300, 40];משיח;21182;(39, 30, 15, 2, 21182);הפסח;4;(39, 30, 15, 10, 87150);וישחטו הפסח בארבעה עשר לחדש השני והכהנים והלוים נכלמו ויתקדשו ויביאו עלות בית יהוה
(6452, 41, 4);[8, 10, 300, 40];משיח;1596;(38, 4, 41, 22, 1596);תחתיהם;2;(38, 4, 41, 95, 6452);ויבאו אלה הכתובים בשמות בימי יחזקיהו מלך יהודה ויכו את אהליהם ואת המעינים אשר נמצאו שמה ויחרימם עד היום הזה וישבו תחתיהם כי מרעה לצאנם שם
(18214, 41, 4);[8, 10, 300, 40];משיח;4450;(38, 11, 22, 6, 4450);חיל;1;(38, 11, 22, 18, 18214);בניה בן יהוידע בן איש חיל רב פעלים מן קבצאל הוא הכה את שני אריאל מואב והוא ירד והכה את הארי בתוך הבור ביום השלג
(22040, 41, 4);[8, 10, 300, 40];משיח;5365;(38, 14, 1, 10, 5365);וחרשי;2;(38, 14, 1, 37, 22040);וישלח חירם מלך צר מלאכים אל דויד ועצי ארזים וחרשי קיר וחרשי עצים לבנות לו בית
(49293, 41, 4);[8, 10, 300, 40];משיח;11896;(39, 4, 22, 7, 11896);ופתח;4;(39, 4, 22, 40, 49293);והמזמרות והמזרקות והכפות והמחתות זהב סגור ופתח הבית דלתותיו הפנימיות לקדש הקדשים ודלתי הבית להיכל זהב
(39818, 43, 4);[8, 10, 300, 40];משיח;9622;(38, 27, 11, 6, 9622);לזרחי;4;(38, 27, 11, 29, 39818);השמיני לחדש השמיני סבכי החשתי לזרחי ועל מחלקתו עשרים וארבעה אלף
(77144, 44, 4);[8, 10, 300, 40];משיח;18785;(39, 24, 17, 7, 18785);וישתחוו;5;(39, 24, 17, 30, 77144);ואחרי מות יהוידע באו שרי יהודה וישתחוו למלך אז שמע המלך אליהם
(13004, 46, 4);[8, 10, 300, 40];משיח;3186;(38, 8, 8, 6, 3186);שלחו;3;(38, 8, 8, 24, 13004);ושחרים הוליד בשדה מואב מן שלחו אתם חושים ואת בערא נשיו
(85007, 46, 4);[8, 10, 300, 40];משיח;20693;(39, 29, 19, 7, 20693);אחז;2;(39, 29, 19, 24, 85007);ואת כל הכלים אשר הזניח המלך אחז במלכותו במעלו הכנו והקדשנו והנם לפני מזבח יהוה
(54761, 47, 4);[8, 10, 300, 40];משיח;13276;(39, 7, 22, 15, 13276);אחרים;2;(39, 7, 22, 63, 54761);ואמרו על אשר עזבו את יהוה אלהי אבתיהם אשר הוציאם מארץ מצרים ויחזיקו באלהים אחרים וישתחוו להם ויעבדום על כן הביא עליהם את כל הרעה הזאת
(79707, 47, 4);[8, 10, 300, 40];משיח;19417;(39, 25, 25, 7, 19417);אחרי;2;(39, 25, 25, 26, 79707);ויחי אמציהו בן יואש מלך יהודה אחרי מות יואש בן יהואחז מלך ישראל חמש עשרה שנה
(6322, 49, 4);[8, 10, 300, 40];משיח;1565;(38, 4, 40, 6, 1565);רחבת;2;(38, 4, 40, 24, 6322);וימצאו מרעה שמן וטוב והארץ רחבת ידים ושקטת ושלוה כי מן חם הישבים שם לפנים
(7150, 49, 4);[8, 10, 300, 40];משיח;1767;(38, 5, 14, 5, 1767);חורי;1;(38, 5, 14, 15, 7150);אלה בני אביחיל בן חורי בן ירוח בן גלעד בן מיכאל בן ישישי בן יחדו בן בוז
(22219, 50, 4);[8, 10, 300, 40];משיח;5408;(38, 14, 5, 1, 5408);ויבחר;4;(38, 14, 5, 4, 22219);ויבחר ואלישוע ואלפלט
(37093, 50, 4);[8, 10, 300, 40];משיח;9017;(38, 25, 16, 4, 9017);ואחיו;3;(38, 25, 16, 19, 37093);התשיעי מתניהו בניו ואחיו שנים עשר
(39394, 52, 4);[8, 10, 300, 40];משיח;9529;(38, 27, 4, 2, 9529);מחלקת;2;(38, 27, 4, 5, 39394);ועל מחלקת החדש השני דודי האחוחי ומחלקתו ומקלות הנגיד ועל מחלקתו עשרים וארבעה אלף
(46742, 52, 4);[8, 10, 300, 40];משיח;11292;(39, 2, 14, 2, 11292);החטים;2;(39, 2, 14, 6, 46742);ועתה החטים והשערים השמן והיין אשר אמר אדני ישלח לעבדיו
(55196, 52, 4);[8, 10, 300, 40];משיח;13389;(39, 8, 8, 5, 13389);אחריהם;2;(39, 8, 8, 17, 55196);מן בניהם אשר נותרו אחריהם בארץ אשר לא כלום בני ישראל ויעלם שלמה למס עד היום הזה
(55852, 52, 4);[8, 10, 300, 40];משיח;13554;(39, 8, 18, 1, 13554);וישלח;5;(39, 8, 18, 5, 55852);וישלח לו חורם ביד עבדיו אוניות ועבדים יודעי ים ויבאו עם עבדי שלמה אופירה ויקחו משם ארבע מאות וחמשים ככר זהב ויביאו אל המלך שלמה
(97585, 52, 4);[8, 10, 300, 40];משיח;23618;(39, 35, 22, 18, 23618);להלחם;4;(39, 35, 22, 65, 97585);ולא הסב יאשיהו פניו ממנו כי להלחם בו התחפש ולא שמע אל דברי נכו מפי אלהים ויבא להלחם בבקעת מגדו
(20867, 53, 4);[8, 10, 300, 40];משיח;5072;(38, 12, 38, 6, 5072);וחצי;2;(38, 12, 38, 26, 20867);ומעבר לירדן מן הראובני והגדי וחצי שבט מנשה בכל כלי צבא מלחמה מאה ועשרים אלף
(28326, 53, 4);[8, 10, 300, 40];משיח;6880;(38, 18, 10, 19, 6880);מלחמות;3;(38, 18, 10, 72, 28326);וישלח את הדורם בנו אל המלך דויד לשאול לו לשלום ולברכו על אשר נלחם בהדדעזר ויכהו כי איש מלחמות תעו היה הדדעזר וכל כלי זהב וכסף ונחשת
(24029, 54, 4);[8, 10, 300, 40];משיח;5818;(38, 15, 24, 10, 5818);בחצצרות;2;(38, 15, 24, 59, 24029);ושבניהו ויושפט ונתנאל ועמשי וזכריהו ובניהו ואליעזר הכהנים מחצצרים בחצצרות לפני ארון האלהים ועבד אדם ויחיה שערים לארון
(17820, 55, 4);[8, 10, 300, 40];משיח;4351;(38, 11, 15, 15, 4351);חנה;1;(38, 11, 15, 55, 17820);וירדו שלושה מן השלושים ראש על הצר אל דויד אל מערת עדלם ומחנה פלשתים חנה בעמק רפאים
(18004, 55, 4);[8, 10, 300, 40];משיח;4396;(38, 11, 19, 2, 4396);חלילה;1;(38, 11, 19, 6, 18004);ויאמר חלילה לי מאלהי מעשות זאת הדם האנשים האלה אשתה בנפשותם כי בנפשותם הביאום ולא אבה לשתותם אלה עשו שלשת הגבורים
(31886, 55, 4);[8, 10, 300, 40];משיח;7792;(38, 21, 21, 13, 7792);וישתחו;5;(38, 21, 21, 47, 31886);ויבא דויד עד ארנן ויבט ארנן וירא את דויד ויצא מן הגרן וישתחו לדויד אפים ארצה
(90413, 55, 4);[8, 10, 300, 40];משיח;21912;(39, 32, 12, 15, 21912);אחד;2;(39, 32, 12, 67, 90413);הלא הוא יחזקיהו הסיר את במתיו ואת מזבחתיו ויאמר ליהודה ולירושלם לאמר לפני מזבח אחד תשתחוו ועליו תקטירו
(99171, 55, 4);[8, 10, 300, 40];משיח;23976;(39, 36, 20, 4, 23976);החרב;2;(39, 36, 20, 14, 99171);ויגל השארית מן החרב אל בבל ויהיו לו ולבניו לעבדים עד מלך מלכות פרס
(34049, 57, 4);[8, 10, 300, 40];משיח;8327;(38, 23, 11, 2, 8327);יחת;2;(38, 23, 11, 6, 34049);ויהי יחת הראש וזיזה השני ויעוש ובריעה לא הרבו בנים ויהיו לבית אב לפקדה אחת
