(n, d, k);[Gematria of ELS];ELS Search Term;Found in WordNumber In Text;WordCoordinatesDWTK;Found in Word In Text;LetterPositionIndex In Word;LetterCoordinatesD5K of First Letter in ELS;Found In Verse
(3186, 7, 4);[8, 10, 300, 40];משיח;813;(5, 2, 12, 3, 813);החרים;2;(5, 2, 12, 12, 3186);ובשעיר ישבו החרים לפנים ובני עשו יירשום וישמידום מפניהם וישבו תחתם כאשר עשה ישראל לארץ ירשתו אשר נתן יהוה להם
(9510, 12, 4);[8, 10, 300, 40];משיח;2458;(5, 4, 49, 9, 2458);תחת;2;(5, 4, 49, 33, 9510);וכל הערבה עבר הירדן מזרחה ועד ים הערבה תחת אשדת הפסגה
(32833, 14, 4);[8, 10, 300, 40];משיח;8523;(5, 21, 3, 5, 8523);החלל;2;(5, 21, 3, 17, 32833);והיה העיר הקרבה אל החלל ולקחו זקני העיר ההוא עגלת בקר אשר לא עבד בה אשר לא משכה בעל
(16700, 15, 4);[8, 10, 300, 40];משיח;4288;(5, 9, 19, 5, 4288);והחמה;3;(5, 9, 19, 17, 16700);כי יגרתי מפני האף והחמה אשר קצף יהוה עליכם להשמיד אתכם וישמע יהוה אלי גם בפעם ההוא
(13285, 26, 4);[8, 10, 300, 40];משיח;3419;(5, 7, 11, 5, 3419);החקים;2;(5, 7, 11, 17, 13285);ושמרת את המצוה ואת החקים ואת המשפטים אשר אנכי מצוך היום לעשותם
(25935, 29, 4);[8, 10, 300, 40];משיח;6673;(5, 15, 11, 13, 6673);תפתח;4;(5, 15, 11, 44, 25935);כי לא יחדל אביון מקרב הארץ על כן אנכי מצוך לאמר פתח תפתח את ידך לאחיך לעניך ולאבינך בארצך
(12965, 31, 4);[8, 10, 300, 40];משיח;3338;(5, 7, 6, 8, 3338);בחר;2;(5, 7, 6, 25, 12965);כי עם קדוש אתה ליהוה אלהיך בך בחר יהוה אלהיך להיות לו לעם סגלה מכל העמים אשר על פני האדמה
(6969, 38, 4);[8, 10, 300, 40];משיח;1807;(5, 4, 9, 19, 1807);חייך;1;(5, 4, 9, 63, 6969);רק השמר לך ושמר נפשך מאד פן תשכח את הדברים אשר ראו עיניך ופן יסורו מלבבך כל ימי חייך והודעתם לבניך ולבני בניך
(39038, 38, 4);[8, 10, 300, 40];משיח;10201;(5, 25, 19, 15, 10201);נחלה;2;(5, 25, 19, 56, 39038);והיה בהניח יהוה אלהיך לך מכל איביך מסביב בארץ אשר יהוה אלהיך נתן לך נחלה לרשתה תמחה את זכר עמלק מתחת השמים לא תשכח
(36893, 41, 4);[8, 10, 300, 40];משיח;9633;(5, 24, 1, 10, 9633);חן;1;(5, 24, 1, 29, 36893);כי יקח איש אשה ובעלה והיה אם לא תמצא חן בעיניו כי מצא בה ערות דבר וכתב לה ספר כריתת ונתן בידה ושלחה מביתו
(50458, 47, 4);[8, 10, 300, 40];משיח;13135;(5, 31, 29, 7, 13135);תשחתון;3;(5, 31, 29, 24, 50458);כי ידעתי אחרי מותי כי השחת תשחתון וסרתם מן הדרך אשר צויתי אתכם וקראת אתכם הרעה באחרית הימים כי תעשו את הרע בעיני יהוה להכעיסו במעשה ידיכם
(36318, 48, 4);[8, 10, 300, 40];משיח;9474;(5, 23, 15, 12, 9474);מחניך;2;(5, 23, 15, 50, 36318);כי יהוה אלהיך מתהלך בקרב מחנך להצילך ולתת איביך לפניך והיה מחניך קדוש ולא יראה בך ערות דבר ושב מאחריך
(21161, 53, 4);[8, 10, 300, 40];משיח;5422;(5, 12, 9, 9, 5422);הנחלה;3;(5, 12, 9, 27, 21161);כי לא באתם עד עתה אל המנוחה ואל הנחלה אשר יהוה אלהיך נתן לך
(10000, 55, 4);[8, 10, 300, 40];משיח;2587;(5, 5, 10, 2, 2587);חסד;1;(5, 5, 10, 5, 10000);ועשה חסד לאלפים לאהבי ולשמרי מצותו
(48355, 58, 4);[8, 10, 300, 40];משיח;12587;(5, 30, 19, 17, 12587);תחיה;2;(5, 30, 19, 73, 48355);העידתי בכם היום את השמים ואת הארץ החיים והמות נתתי לפניך הברכה והקללה ובחרת בחיים למען תחיה אתה וזרעך
(53872, 58, 4);[8, 10, 300, 40];משיח;14021;(5, 33, 21, 7, 14021);מחקק;2;(5, 33, 21, 21, 53872);וירא ראשית לו כי שם חלקת מחקק ספון ויתא ראשי עם צדקת יהוה עשה ומשפטיו עם ישראל
(52091, 60, 4);[8, 10, 300, 40];משיח;13555;(5, 32, 38, 2, 13555);חלב;1;(5, 32, 38, 4, 52091);אשר חלב זבחימו יאכלו ישתו יין נסיכם יקומו ויעזרכם יהי עליכם סתרה
(25346, 69, 4);[8, 10, 300, 40];משיח;6507;(5, 15, 2, 17, 6507);אחיו;2;(5, 15, 2, 53, 25346);וזה דבר השמטה שמוט כל בעל משה ידו אשר ישה ברעהו לא יגש את רעהו ואת אחיו כי קרא שמטה ליהוה
(23003, 72, 4);[8, 10, 300, 40];משיח;5894;(5, 13, 6, 4, 5894);חלם;1;(5, 13, 6, 13, 23003);והנביא ההוא או חלם החלום ההוא יומת כי דבר סרה על יהוה אלהיכם המוציא אתכם מארץ מצרים והפדך מבית עבדים להדיחך מן הדרך אשר צוך יהוה אלהיך ללכת בה ובערת הרע מקרבך
(29586, 74, 4);[8, 10, 300, 40];משיח;7643;(5, 18, 8, 2, 7643);כחלק;2;(5, 18, 8, 5, 29586);חלק כחלק יאכלו לבד ממכריו על האבות
(6771, 75, 4);[8, 10, 300, 40];משיח;1754;(5, 4, 6, 18, 1754);חכם;1;(5, 4, 6, 72, 6771);ושמרתם ועשיתם כי הוא חכמתכם ובינתכם לעיני העמים אשר ישמעון את כל החקים האלה ואמרו רק עם חכם ונבון הגוי הגדול הזה
(38698, 75, 4);[8, 10, 300, 40];משיח;10110;(5, 25, 11, 17, 10110);והחזיקה;3;(5, 25, 11, 64, 38698);כי ינצו אנשים יחדו איש ואחיו וקרבה אשת האחד להציל את אישה מיד מכהו ושלחה ידה והחזיקה במבשיו
(12759, 77, 4);[8, 10, 300, 40];משיח;3284;(5, 7, 2, 7, 3284);תחרים;2;(5, 7, 2, 31, 12759);ונתנם יהוה אלהיך לפניך והכיתם החרם תחרים אתם לא תכרת להם ברית ולא תחנם
(27764, 90, 4);[8, 10, 300, 40];משיח;7144;(5, 16, 20, 5, 7144);תחיה;2;(5, 16, 20, 16, 27764);צדק צדק תרדף למען תחיה וירשת את הארץ אשר יהוה אלהיך נתן לך
(53243, 95, 4);[8, 10, 300, 40];משיח;13866;(5, 33, 8, 6, 13866);חסידך;1;(5, 33, 8, 23, 53243);וללוי אמר תמיך ואוריך לאיש חסידך אשר נסיתו במסה תריבהו על מי מריבה
(33053, 100, 4);[8, 10, 300, 40];משיח;8585;(5, 21, 6, 8, 8585);ירחצו;3;(5, 21, 6, 30, 33053);וכל זקני העיר ההוא הקרבים אל החלל ירחצו את ידיהם על העגלה הערופה בנחל
(45264, 100, 4);[8, 10, 300, 40];משיח;11803;(5, 28, 67, 11, 11803);מפחד;3;(5, 28, 67, 36, 45264);בבקר תאמר מי יתן ערב ובערב תאמר מי יתן בקר מפחד לבבך אשר תפחד וממראה עיניך אשר תראה
(36893, 41, 5);[8, 10, 300, 40, 30];למשיח;9633;(5, 24, 1, 10, 9633);חן;1;(5, 24, 1, 29, 36893);כי יקח איש אשה ובעלה והיה אם לא תמצא חן בעיניו כי מצא בה ערות דבר וכתב לה ספר כריתת ונתן בידה ושלחה מביתו
(29586, 74, 5);[8, 10, 300, 40, 30];למשיח;7643;(5, 18, 8, 2, 7643);כחלק;2;(5, 18, 8, 5, 29586);חלק כחלק יאכלו לבד ממכריו על האבות
(45264, 100, 5);[8, 10, 300, 40, 30];למשיח;11803;(5, 28, 67, 11, 11803);מפחד;3;(5, 28, 67, 36, 45264);בבקר תאמר מי יתן ערב ובערב תאמר מי יתן בקר מפחד לבבך אשר תפחד וממראה עיניך אשר תראה
(39038, 38, 5);[8, 10, 300, 40, 40];ממשיח;10201;(5, 25, 19, 15, 10201);נחלה;2;(5, 25, 19, 56, 39038);והיה בהניח יהוה אלהיך לך מכל איביך מסביב בארץ אשר יהוה אלהיך נתן לך נחלה לרשתה תמחה את זכר עמלק מתחת השמים לא תשכח
(38698, 75, 5);[8, 10, 300, 40, 5];המשיח;10110;(5, 25, 11, 17, 10110);והחזיקה;3;(5, 25, 11, 64, 38698);כי ינצו אנשים יחדו איש ואחיו וקרבה אשת האחד להציל את אישה מיד מכהו ושלחה ידה והחזיקה במבשיו
(53243, 95, 5);[8, 10, 300, 40, 5];המשיח;13866;(5, 33, 8, 6, 13866);חסידך;1;(5, 33, 8, 23, 53243);וללוי אמר תמיך ואוריך לאיש חסידך אשר נסיתו במסה תריבהו על מי מריבה
(3179, 7, 5);[10, 8, 10, 300, 40];משיחי;811;(5, 2, 12, 1, 811);ובשעיר;5;(5, 2, 12, 5, 3179);ובשעיר ישבו החרים לפנים ובני עשו יירשום וישמידום מפניהם וישבו תחתם כאשר עשה ישראל לארץ ירשתו אשר נתן יהוה להם
(32819, 14, 5);[10, 8, 10, 300, 40];משיחי;8519;(5, 21, 3, 1, 8519);והיה;3;(5, 21, 3, 3, 32819);והיה העיר הקרבה אל החלל ולקחו זקני העיר ההוא עגלת בקר אשר לא עבד בה אשר לא משכה בעל
(16685, 15, 5);[10, 8, 10, 300, 40];משיחי;4284;(5, 9, 19, 1, 4284);כי;2;(5, 9, 19, 2, 16685);כי יגרתי מפני האף והחמה אשר קצף יהוה עליכם להשמיד אתכם וישמע יהוה אלי גם בפעם ההוא
(36270, 48, 5);[10, 8, 10, 300, 40];משיחי;9463;(5, 23, 15, 1, 9463);כי;2;(5, 23, 15, 2, 36270);כי יהוה אלהיך מתהלך בקרב מחנך להצילך ולתת איביך לפניך והיה מחניך קדוש ולא יראה בך ערות דבר ושב מאחריך
(9945, 55, 5);[10, 8, 10, 300, 40];משיחי;2572;(5, 5, 9, 8, 2572);יהוה;1;(5, 5, 9, 26, 9945);לא תשתחוה להם ולא תעבדם כי אנכי יהוה אלהיך אל קנא פקד עון אבות על בנים ועל שלשים ועל רבעים לשנאי
