(n, d, k);[Gematria of ELS];ELS Search Term;Found in WordNumber In Text;WordCoordinatesDWTK;Found in Word In Text;LetterPositionIndex In Word;LetterCoordinatesD5K of First Letter in ELS;Found In Verse
(28882, 3, 4);[8, 10, 300, 40];משיח;7364;(8, 17, 52, 16, 7364);חללי;1;(8, 17, 52, 67, 28882);ויקמו אנשי ישראל ויהודה וירעו וירדפו את הפלשתים עד בואך גיא ועד שערי עקרון ויפלו חללי פלשתים בדרך שערים ועד גת ועד עקרון
(17919, 7, 4);[8, 10, 300, 40];משיח;4557;(8, 13, 7, 13, 4557);חרדו;1;(8, 13, 7, 49, 17919);ועברים עברו את הירדן ארץ גד וגלעד ושאול עודנו בגלגל וכל העם חרדו אחריו
(47899, 8, 4);[8, 10, 300, 40];משיח;12377;(8, 29, 2, 9, 12377);באחרנה;3;(8, 29, 2, 46, 47899);וסרני פלשתים עברים למאות ולאלפים ודוד ואנשיו עברים באחרנה עם אכיש
(20310, 10, 4);[8, 10, 300, 40];משיח;5155;(8, 14, 23, 7, 5155);והמלחמה;5;(8, 14, 23, 29, 20310);ויושע יהוה ביום ההוא את ישראל והמלחמה עברה את בית און
(41810, 11, 4);[8, 10, 300, 40];משיח;10776;(8, 25, 18, 5, 10776);לחם;2;(8, 25, 18, 22, 41810);ותמהר אבוגיל ותקח מאתים לחם ושנים נבלי יין וחמש צאן עשוות וחמש סאים קלי ומאה צמקים ומאתים דבלים ותשם על החמרים
(27747, 15, 4);[8, 10, 300, 40];משיח;7076;(8, 17, 36, 15, 7076);חרף;1;(8, 17, 36, 48, 27747);גם את הארי גם הדוב הכה עבדך והיה הפלשתי הערל הזה כאחד מהם כי חרף מערכת אלהים חיים
(10566, 18, 4);[8, 10, 300, 40];משיח;2691;(8, 8, 11, 11, 2691);יקח;3;(8, 8, 11, 41, 10566);ויאמר זה יהיה משפט המלך אשר ימלך עליכם את בניכם יקח ושם לו במרכבתו ובפרשיו ורצו לפני מרכבתו
(13756, 18, 4);[8, 10, 300, 40];משיח;3495;(8, 10, 10, 10, 3495);רוח;3;(8, 10, 10, 43, 13756);ויבאו שם הגבעתה והנה חבל נבאים לקראתו ותצלח עליו רוח אלהים ויתנבא בתוכם
(41803, 18, 4);[8, 10, 300, 40];משיח;10774;(8, 25, 18, 3, 10774);ותקח;4;(8, 25, 18, 15, 41803);ותמהר אבוגיל ותקח מאתים לחם ושנים נבלי יין וחמש צאן עשוות וחמש סאים קלי ומאה צמקים ומאתים דבלים ותשם על החמרים
(26249, 23, 4);[8, 10, 300, 40];משיח;6696;(8, 17, 12, 7, 6696);לחם;2;(8, 17, 12, 23, 26249);ודוד בן איש אפרתי הזה מבית לחם יהודה ושמו ישי ולו שמנה בנים והאיש בימי שאול זקן בא באנשים
(2875, 24, 4);[8, 10, 300, 40];משיח;762;(8, 2, 25, 2, 762);יחטא;2;(8, 2, 25, 4, 2875);אם יחטא איש לאיש ופללו אלהים ואם ליהוה יחטא איש מי יתפלל לו ולא ישמעו לקול אביהם כי חפץ יהוה להמיתם
(36085, 26, 4);[8, 10, 300, 40];משיח;9272;(8, 22, 1, 9, 9272);אחיו;2;(8, 22, 1, 33, 36085);וילך דוד משם וימלט אל מערת עדלם וישמעו אחיו וכל בית אביו וירדו אליו שמה
(50135, 27, 4);[8, 10, 300, 40];משיח;12968;(8, 30, 23, 6, 12968);אחי;2;(8, 30, 23, 18, 50135);ויאמר דוד לא תעשו כן אחי את אשר נתן יהוה לנו וישמר אתנו ויתן את הגדוד הבא עלינו בידנו
(50215, 31, 4);[8, 10, 300, 40];משיח;12990;(8, 30, 24, 9, 12990);במלחמה;4;(8, 30, 24, 31, 50215);ומי ישמע לכם לדבר הזה כי כחלק הירד במלחמה וכחלק הישב על הכלים יחדו יחלקו
(15757, 33, 4);[8, 10, 300, 40];משיח;3999;(8, 11, 15, 14, 3999);זבחים;3;(8, 11, 15, 53, 15757);וילכו כל העם הגלגל וימלכו שם את שאול לפני יהוה בגלגל ויזבחו שם זבחים שלמים לפני יהוה וישמח שם שאול וכל אנשי ישראל עד מאד
(25231, 35, 4);[8, 10, 300, 40];משיח;6444;(8, 16, 18, 2, 6444);אחד;2;(8, 16, 18, 6, 25231);ויען אחד מהנערים ויאמר הנה ראיתי בן לישי בית הלחמי ידע נגן וגבור חיל ואיש מלחמה ונבון דבר ואיש תאר ויהוה עמו
(25689, 35, 4);[8, 10, 300, 40];משיח;6562;(8, 17, 2, 9, 6562);מלחמה;3;(8, 17, 2, 41, 25689);ושאול ואיש ישראל נאספו ויחנו בעמק האלה ויערכו מלחמה לקראת פלשתים
(10415, 38, 4);[8, 10, 300, 40];משיח;2649;(8, 8, 8, 15, 2649);אחרים;2;(8, 8, 8, 63, 10415);ככל המעשים אשר עשו מיום העלתי אתם ממצרים ועד היום הזה ויעזבני ויעבדו אלהים אחרים כן המה עשים גם לך
(407, 39, 4);[8, 10, 300, 40];משיח;105;(8, 1, 8, 5, 105);חנה;1;(8, 1, 8, 17, 407);ויאמר לה אלקנה אישה חנה למה תבכי ולמה לא תאכלי ולמה ירע לבבך הלוא אנכי טוב לך מעשרה בנים
(3163, 40, 4);[8, 10, 300, 40];משיח;837;(8, 2, 29, 3, 837);בזבחי;4;(8, 2, 29, 12, 3163);למה תבעטו בזבחי ובמנחתי אשר צויתי מעון ותכבד את בניך ממני להבריאכם מראשית כל מנחת ישראל לעמי
(24883, 40, 4);[8, 10, 300, 40];משיח;6354;(8, 16, 12, 1, 6354);וישלח;5;(8, 16, 12, 5, 24883);וישלח ויביאהו והוא אדמוני עם יפה עינים וטוב ראי ויאמר יהוה קום משחהו כי זה הוא
(43960, 40, 4);[8, 10, 300, 40];משיח;11340;(8, 26, 6, 11, 11340);אחי;2;(8, 26, 6, 41, 43960);ויען דוד ויאמר אל אחימלך החתי ואל אבישי בן צרויה אחי יואב לאמר מי ירד אתי אל שאול אל המחנה ויאמר אבישי אני ארד עמך
