(n, d, k);[Gematria of ELS];ELS Search Term;Found in WordNumber In Text;WordCoordinatesDWTK;Found in Word In Text;LetterPositionIndex In Word;LetterCoordinatesD5K of First Letter in ELS;Found In Verse
(3385, 3, 4);[8, 10, 300, 40];משיח;866;(11, 3, 7, 2, 866);וישלח;5;(11, 3, 7, 9, 3385);וילך וישלח אל יהושפט מלך יהודה לאמר מלך מואב פשע בי התלך אתי אל מואב למלחמה ויאמר אעלה כמוני כמוך כעמי כעמך כסוסי כסוסיך
(26055, 3, 4);[8, 10, 300, 40];משיח;6701;(11, 15, 2, 7, 6701);וחמשים;2;(11, 15, 2, 21, 26055);בן שש עשרה שנה היה במלכו וחמשים ושתים שנה מלך בירושלם ושם אמו יכליהו מירושלם
(27515, 3, 4);[8, 10, 300, 40];משיח;7080;(11, 15, 27, 2, 7080);חמשים;1;(11, 15, 27, 5, 27515);בשנת חמשים ושתים שנה לעזריה מלך יהודה מלך פקח בן רמליהו על ישראל בשמרון עשרים שנה
(27547, 6, 4);[8, 10, 300, 40];משיח;7087;(11, 15, 27, 9, 7087);פקח;3;(11, 15, 27, 37, 27547);בשנת חמשים ושתים שנה לעזריה מלך יהודה מלך פקח בן רמליהו על ישראל בשמרון עשרים שנה
(27113, 8, 4);[8, 10, 300, 40];משיח;6979;(11, 15, 20, 14, 6979);חמשים;1;(11, 15, 20, 46, 27113);ויצא מנחם את הכסף על ישראל על כל גבורי החיל לתת למלך אשור חמשים שקלים כסף לאיש אחד וישב מלך אשור ולא עמד שם בארץ
(765, 10, 4);[8, 10, 300, 40];משיח;196;(11, 1, 11, 7, 196);וחמשיו;2;(11, 1, 11, 25, 765);וישב וישלח אליו שר חמשים אחר וחמשיו ויען וידבר אליו איש האלהים כה אמר המלך מהרה רדה
(2606, 11, 4);[8, 10, 300, 40];משיח;666;(11, 2, 17, 6, 666);שלחו;3;(11, 2, 17, 20, 2606);ויפצרו בו עד בש ויאמר שלחו וישלחו חמשים איש ויבקשו שלשה ימים ולא מצאהו
(5256, 13, 4);[8, 10, 300, 40];משיח;1352;(11, 4, 8, 10, 1352);ותחזק;3;(11, 4, 8, 38, 5256);ויהי היום ויעבר אלישע אל שונם ושם אשה גדולה ותחזק בו לאכל לחם ויהי מדי עברו יסר שמה לאכל לחם
(26984, 13, 4);[8, 10, 300, 40];משיח;6943;(11, 15, 18, 13, 6943);החטיא;2;(11, 15, 18, 43, 26984);ויעש הרע בעיני יהוה לא סר מעל חטאות ירבעם בן נבט אשר החטיא את ישראל כל ימיו
(47549, 13, 4);[8, 10, 300, 40];משיח;12203;(11, 25, 26, 8, 12203);החילים;2;(11, 25, 26, 27, 47549);ויקמו כל העם מקטן ועד גדול ושרי החילים ויבאו מצרים כי יראו מפני כשדים
(17, 17, 4);[8, 10, 300, 40];משיח;4;(11, 1, 1, 4, 4);אחרי;2;(11, 1, 1, 17, 17);ויפשע מואב בישראל אחרי מות אחאב
