(n, d, k);[Gematria of ELS];ELS Search Term;Found in WordNumber In Text;WordCoordinatesDWTK;Found in Word In Text;LetterPositionIndex In Word;LetterCoordinatesD5K of First Letter in ELS;Found In Verse
(54882, 5, 4);[8, 10, 300, 40];משיח;13927;(12, 54, 9, 3, 13927);נח;2;(12, 54, 9, 6, 54882);כי מי נח זאת לי אשר נשבעתי מעבר מי נח עוד על הארץ כן נשבעתי מקצף עליך ומגער בך
(45098, 7, 4);[8, 10, 300, 40];משיח;11447;(12, 44, 18, 6, 11447);טח;2;(12, 44, 18, 18, 45098);לא ידעו ולא יבינו כי טח מראות עיניהם מהשכיל לבתם
(28283, 10, 4);[8, 10, 300, 40];משיח;7195;(12, 30, 11, 6, 7195);ארח;3;(12, 30, 11, 19, 28283);סורו מני דרך הטו מני ארח השביתו מפנינו את קדוש ישראל
(31708, 12, 4);[8, 10, 300, 40];משיח;8078;(12, 33, 17, 7, 8078);מרחקים;3;(12, 33, 17, 31, 31708);מלך ביפיו תחזינה עיניך תראינה ארץ מרחקים
(44763, 12, 4);[8, 10, 300, 40];משיח;11361;(12, 44, 13, 1, 11361);חרש;1;(12, 44, 13, 1, 44763);חרש עצים נטה קו יתארהו בשרד יעשהו במקצעות ובמחוגה יתארהו ויעשהו כתבנית איש כתפארת אדם לשבת בית
(48900, 12, 4);[8, 10, 300, 40];משיח;12412;(12, 48, 8, 10, 12412);פתחה;3;(12, 48, 8, 26, 48900);גם לא שמעת גם לא ידעת גם מאז לא פתחה אזנך כי ידעתי בגוד תבגוד ופשע מבטן קרא לך
(65846, 14, 4);[8, 10, 300, 40];משיח;16673;(12, 66, 8, 15, 16673);אחת;2;(12, 66, 8, 47, 65846);מי שמע כזאת מי ראה כאלה היוחל ארץ ביום אחד אם יולד גוי פעם אחת כי חלה גם ילדה ציון את בניה
(17176, 15, 4);[8, 10, 300, 40];משיח;4342;(12, 18, 6, 14, 4342);תחרף;2;(12, 18, 6, 55, 17176);יעזבו יחדו לעיט הרים ולבהמת הארץ וקץ עליו העיט וכל בהמת הארץ עליו תחרף
(12616, 16, 4);[8, 10, 300, 40];משיח;3176;(12, 13, 5, 9, 3176);לחבל;2;(12, 13, 5, 35, 12616);באים מארץ מרחק מקצה השמים יהוה וכלי זעמו לחבל כל הארץ
(61998, 16, 4);[8, 10, 300, 40];משיח;15697;(12, 62, 5, 3, 15697);בחור;2;(12, 62, 5, 8, 61998);כי יבעל בחור בתולה יבעלוך בניך ומשוש חתן על כלה ישיש עליך אלהיך
(38225, 19, 4);[8, 10, 300, 40];משיח;9739;(12, 38, 21, 9, 9739);ויחי;3;(12, 38, 21, 40, 38225);ויאמר ישעיהו ישאו דבלת תאנים וימרחו על השחין ויחי
(62940, 23, 4);[8, 10, 300, 40];משיח;15936;(12, 63, 10, 11, 15936);נלחם;3;(12, 63, 10, 40, 62940);והמה מרו ועצבו את רוח קדשו ויהפך להם לאויב הוא נלחם בם
(18730, 24, 4);[8, 10, 300, 40];משיח;4726;(12, 20, 2, 16, 4726);תחלץ;2;(12, 20, 2, 58, 18730);בעת ההיא דבר יהוה ביד ישעיהו בן אמוץ לאמר לך ופתחת השק מעל מתניך ונעלך תחלץ מעל רגלך ויעש כן הלך ערום ויחף
(37276, 24, 4);[8, 10, 300, 40];משיח;9491;(12, 38, 2, 2, 9491);חזקיהו;1;(12, 38, 2, 5, 37276);ויסב חזקיהו פניו אל הקיר ויתפלל אל יהוה
(14764, 26, 4);[8, 10, 300, 40];משיח;3719;(12, 14, 30, 5, 3719);לבטח;4;(12, 14, 30, 25, 14764);ורעו בכורי דלים ואביונים לבטח ירבצו והמתי ברעב שרשך ושאריתך יהרג
(64877, 26, 4);[8, 10, 300, 40];משיח;16413;(12, 65, 17, 7, 16413);חדשה;1;(12, 65, 17, 24, 64877);כי הנני בורא שמים חדשים וארץ חדשה ולא תזכרנה הראשנות ולא תעלינה על לב
(28241, 30, 4);[8, 10, 300, 40];משיח;7184;(12, 30, 10, 10, 7184);נכחות;3;(12, 30, 10, 36, 28241);אשר אמרו לראים לא תראו ולחזים לא תחזו לנו נכחות דברו לנו חלקות חזו מהתלות
(9362, 31, 4);[8, 10, 300, 40];משיח;2354;(12, 9, 16, 6, 2354);ישמח;4;(12, 9, 16, 18, 9362);על כן על בחוריו לא ישמח אדני ואת יתמיו ואת אלמנותיו לא ירחם כי כלו חנף ומרע וכל פה דבר נבלה בכל זאת לא שב אפו ועוד ידו נטויה
(14989, 31, 4);[8, 10, 300, 40];משיח;3779;(12, 15, 2, 14, 3779);קרחה;3;(12, 15, 2, 54, 14989);עלה הבית ודיבן הבמות לבכי על נבו ועל מידבא מואב ייליל בכל ראשיו קרחה כל זקן גרועה
(27645, 31, 4);[8, 10, 300, 40];משיח;7028;(12, 29, 22, 19, 7028);יחורו;2;(12, 29, 22, 59, 27645);לכן כה אמר יהוה אל בית יעקב אשר פדה את אברהם לא עתה יבוש יעקב ולא עתה פניו יחורו
(44412, 32, 4);[8, 10, 300, 40];משיח;11273;(12, 44, 6, 12, 11273);אחרון;2;(12, 44, 6, 45, 44412);כה אמר יהוה מלך ישראל וגאלו יהוה צבאות אני ראשון ואני אחרון ומבלעדי אין אלהים
(11314, 33, 4);[8, 10, 300, 40];משיח;2853;(12, 11, 2, 5, 2853);רוח;3;(12, 11, 2, 18, 11314);ונחה עליו רוח יהוה רוח חכמה ובינה רוח עצה וגבורה רוח דעת ויראת יהוה
(18105, 33, 4);[8, 10, 300, 40];משיח;4577;(12, 19, 17, 11, 4577);יפחד;3;(12, 19, 17, 44, 18105);והיתה אדמת יהודה למצרים לחגא כל אשר יזכיר אתה אליו יפחד מפני עצת יהוה צבאות אשר הוא יועץ עליו
(2907, 37, 4);[8, 10, 300, 40];משיח;715;(12, 3, 9, 9, 715);כחדו;2;(12, 3, 9, 34, 2907);הכרת פניהם ענתה בם וחטאתם כסדם הגידו לא כחדו אוי לנפשם כי גמלו להם רעה
(14330, 37, 4);[8, 10, 300, 40];משיח;3608;(12, 14, 21, 3, 3608);מטבח;4;(12, 14, 21, 14, 14330);הכינו לבניו מטבח בעון אבותם בל יקמו וירשו ארץ ומלאו פני תבל ערים
(41430, 38, 4);[8, 10, 300, 40];משיח;10544;(12, 41, 24, 7, 10544);יבחר;3;(12, 41, 24, 27, 41430);הן אתם מאין ופעלכם מאפע תועבה יבחר בכם
(44737, 38, 4);[8, 10, 300, 40];משיח;11352;(12, 44, 12, 10, 11352);כחו;2;(12, 44, 12, 45, 44737);חרש ברזל מעצד ופעל בפחם ובמקבות יצרהו ויפעלהו בזרוע כחו גם רעב ואין כח לא שתה מים וייעף
(25742, 40, 4);[8, 10, 300, 40];משיח;6550;(12, 28, 15, 20, 6550);מחסנו;2;(12, 28, 15, 67, 25742);כי אמרתם כרתנו ברית את מות ועם שאול עשינו חזה שיט שוטף כי עבר לא יבואנו כי שמנו כזב מחסנו ובשקר נסתרנו
(39764, 40, 4);[8, 10, 300, 40];משיח;10138;(12, 40, 22, 6, 10138);כחגבים;2;(12, 40, 22, 21, 39764);הישב על חוג הארץ וישביה כחגבים הנוטה כדק שמים וימתחם כאהל לשבת
(24438, 41, 4);[8, 10, 300, 40];משיח;6210;(12, 27, 4, 1, 6210);חמה;1;(12, 27, 4, 1, 24438);חמה אין לי מי יתנני שמיר שית במלחמה אפשעה בה אציתנה יחד
(54191, 42, 4);[8, 10, 300, 40];משיח;13754;(12, 53, 8, 11, 13754);חיים;1;(12, 53, 8, 38, 54191);מעצר וממשפט לקח ואת דורו מי ישוחח כי נגזר מארץ חיים מפשע עמי נגע למו
