(n, d, k);[Gematria of ELS];ELS Search Term;Found in WordNumber In Text;WordCoordinatesDWTK;Found in Word In Text;LetterPositionIndex In Word;LetterCoordinatesD5K of First Letter in ELS;Found In Verse
(5162, 3, 4);[8, 10, 300, 40];משיח;1321;(15, 8, 7, 9, 1321);צמח;3;(15, 8, 7, 32, 5162);כי רוח יזרעו וסופתה יקצרו קמה אין לו צמח בלי יעשה קמח אולי יעשה זרים יבלעהו
(3797, 7, 4);[8, 10, 300, 40];משיח;969;(15, 6, 2, 1, 969);יחינו;2;(15, 6, 2, 2, 3797);יחינו מימים ביום השלישי יקמנו ונחיה לפניו
(2912, 19, 4);[8, 10, 300, 40];משיח;749;(15, 4, 15, 17, 749);חי;1;(15, 4, 15, 58, 2912);אם זנה אתה ישראל אל יאשם יהודה ואל תבאו הגלגל ואל תעלו בית און ואל תשבעו חי יהוה
(4071, 21, 4);[8, 10, 300, 40];משיח;1038;(15, 6, 9, 4, 1038);חבר;1;(15, 6, 9, 15, 4071);וכחכי איש גדודים חבר כהנים דרך ירצחו שכמה כי זמה עשו
(2840, 34, 4);[8, 10, 300, 40];משיח;728;(15, 4, 14, 18, 728);יזבחו;4;(15, 4, 14, 71, 2840);לא אפקוד על בנותיכם כי תזנינה ועל כלותיכם כי תנאפנה כי הם עם הזנות יפרדו ועם הקדשות יזבחו ועם לא יבין ילבט
(1649, 51, 4);[8, 10, 300, 40];משיח;420;(15, 2, 20, 21, 420);לבטח;4;(15, 2, 20, 86, 1649);וכרתי להם ברית ביום ההוא עם חית השדה ועם עוף השמים ורמש האדמה וקשת וחרב ומלחמה אשבור מן הארץ והשכבתים לבטח
(6629, 71, 4);[8, 10, 300, 40];משיח;1696;(15, 10, 6, 10, 1696);יקח;3;(15, 10, 6, 38, 6629);גם אותו לאשור יובל מנחה למלך ירב בשנה אפרים יקח ויבוש ישראל מעצתו
(8917, 75, 4);[8, 10, 300, 40];משיח;2265;(15, 13, 15, 21, 2265);חמדה;1;(15, 13, 15, 77, 8917);כי הוא בין אחים יפריא יבוא קדים רוח יהוה ממדבר עלה ויבוש מקורו ויחרב מעינו הוא ישסה אוצר כל כלי חמדה
(3088, 90, 4);[8, 10, 300, 40];משיח;793;(15, 5, 1, 14, 793);פח;2;(15, 5, 1, 56, 3088);שמעו זאת הכהנים והקשיבו בית ישראל ובית המלך האזינו כי לכם המשפט כי פח הייתם למצפה ורשת פרושה על תבור
(3797, 7, 5);[8, 10, 300, 40, 5];המשיח;969;(15, 6, 2, 1, 969);יחינו;2;(15, 6, 2, 2, 3797);יחינו מימים ביום השלישי יקמנו ונחיה לפניו
(3790, 7, 5);[10, 8, 10, 300, 40];משיחי;968;(15, 6, 1, 10, 968);ויחבשנו;2;(15, 6, 1, 34, 3790);לכו ונשובה אל יהוה כי הוא טרף וירפאנו יך ויחבשנו
(8842, 75, 5);[10, 8, 10, 300, 40];משיחי;2245;(15, 13, 15, 1, 2245);כי;2;(15, 13, 15, 2, 8842);כי הוא בין אחים יפריא יבוא קדים רוח יהוה ממדבר עלה ויבוש מקורו ויחרב מעינו הוא ישסה אוצר כל כלי חמדה
(5159, 3, 5);[6, 8, 10, 300, 40];משיחו;1320;(15, 8, 7, 8, 1320);לו;2;(15, 8, 7, 29, 5159);כי רוח יזרעו וסופתה יקצרו קמה אין לו צמח בלי יעשה קמח אולי יעשה זרים יבלעהו
(2998, 90, 5);[6, 8, 10, 300, 40];משיחו;772;(15, 4, 18, 7, 772);קלון;3;(15, 4, 18, 24, 2998);סר סבאם הזנה הזנו אהבו הבו קלון מגניה
