(n, d, k);[Gematria of ELS];ELS Search Term;Found in WordNumber In Text;WordCoordinatesDWTK;Found in Word In Text;LetterPositionIndex In Word;LetterCoordinatesD5K of First Letter in ELS;Found In Verse
(7710, 2, 4);[8, 10, 300, 40];משיח;1967;(28, 10, 17, 2, 1967);לחיים;2;(28, 10, 17, 5, 7710);ארח לחיים שומר מוסר ועזב תוכחת מתעה
(4479, 4, 4);[8, 10, 300, 40];משיח;1130;(28, 6, 19, 1, 1130);יפיח;4;(28, 6, 19, 4, 4479);יפיח כזבים עד שקר ומשלח מדנים בין אחים
(20777, 14, 4);[8, 10, 300, 40];משיח;5408;(28, 25, 13, 7, 5408);לשלחיו;4;(28, 25, 13, 26, 20777);כצנת שלג ביום קציר ציר נאמן לשלחיו ונפש אדניו ישיב
(9370, 17, 4);[8, 10, 300, 40];משיח;2381;(28, 12, 11, 7, 2381);חסר;1;(28, 12, 11, 26, 9370);עבד אדמתו ישבע לחם ומרדף ריקים חסר לב
(3585, 25, 4);[8, 10, 300, 40];משיח;903;(28, 5, 10, 4, 903);כחך;2;(28, 5, 10, 13, 3585);פן ישבעו זרים כחך ועצביך בבית נכרי
(5989, 27, 4);[8, 10, 300, 40];משיח;1524;(28, 8, 10, 1, 1524);קחו;2;(28, 8, 10, 2, 5989);קחו מוסרי ואל כסף ודעת מחרוץ נבחר
(21775, 28, 4);[8, 10, 300, 40];משיח;5679;(28, 26, 19, 8, 5679);משחק;3;(28, 26, 19, 24, 21775);כן איש רמה את רעהו ואמר הלא משחק אני
(1388, 37, 4);[8, 10, 300, 40];משיח;337;(28, 2, 16, 6, 337);החליקה;2;(28, 2, 16, 26, 1388);להצילך מאשה זרה מנכריה אמריה החליקה
(20254, 40, 4);[8, 10, 300, 40];משיח;5268;(28, 24, 30, 9, 5268);חסר;1;(28, 24, 30, 26, 20254);על שדה איש עצל עברתי ועל כרם אדם חסר לב
(21415, 42, 4);[8, 10, 300, 40];משיח;5583;(28, 26, 6, 3, 5583);חמס;1;(28, 26, 6, 10, 21415);מקצה רגלים חמס שתה שלח דברים ביד כסיל
(22956, 42, 4);[8, 10, 300, 40];משיח;5986;(28, 28, 3, 8, 5986);לחם;2;(28, 28, 3, 25, 22956);גבר רש ועשק דלים מטר סחף ואין לחם
(4917, 45, 4);[8, 10, 300, 40];משיח;1249;(28, 6, 33, 4, 1249);וחרפתו;2;(28, 6, 33, 14, 4917);נגע וקלון ימצא וחרפתו לא תמחה
(10739, 47, 4);[8, 10, 300, 40];משיח;2742;(28, 14, 8, 1, 2742);חכמת;1;(28, 14, 8, 1, 10739);חכמת ערום הבין דרכו ואולת כסילים מרמה
(16141, 50, 4);[8, 10, 300, 40];משיח;4172;(28, 20, 13, 6, 4172);פקח;3;(28, 20, 13, 18, 16141);אל תאהב שנה פן תורש פקח עיניך שבע לחם
(2602, 51, 4);[8, 10, 300, 40];משיח;647;(28, 4, 2, 2, 647);לקח;3;(28, 4, 2, 5, 2602);כי לקח טוב נתתי לכם תורתי אל תעזבו
(12402, 51, 4);[8, 10, 300, 40];משיח;3170;(28, 15, 31, 3, 3170);תוכחת;4;(28, 15, 31, 11, 12402);אזן שמעת תוכחת חיים בקרב חכמים תלין
(24814, 53, 4);[8, 10, 300, 40];משיח;6471;(28, 30, 8, 4, 6471);הרחק;3;(28, 30, 8, 13, 24814);שוא ודבר כזב הרחק ממני ראש ועשר אל תתן לי הטריפני לחם חקי
(10616, 58, 4);[8, 10, 300, 40];משיח;2709;(28, 14, 3, 6, 2709);חכמים;1;(28, 14, 3, 20, 10616);בפי אויל חטר גאוה ושפתי חכמים תשמורם
(3541, 59, 4);[8, 10, 300, 40];משיח;892;(28, 5, 8, 7, 892);פתח;3;(28, 5, 8, 25, 3541);הרחק מעליה דרכך ואל תקרב אל פתח ביתה
(9833, 64, 4);[8, 10, 300, 40];משיח;2502;(28, 12, 28, 3, 2502);חיים;1;(28, 12, 28, 9, 9833);בארח צדקה חיים ודרך נתיבה אל מות
(7172, 66, 4);[8, 10, 300, 40];משיח;1825;(28, 9, 15, 5, 1825);ארחותם;3;(28, 9, 15, 22, 7172);לקרא לעברי דרך המישרים ארחותם
(4445, 67, 4);[8, 10, 300, 40];משיח;1123;(28, 6, 18, 2, 1123);חרש;1;(28, 6, 18, 3, 4445);לב חרש מחשבות און רגלים ממהרות לרוץ לרעה
(6963, 67, 4);[8, 10, 300, 40];משיח;1770;(28, 9, 8, 2, 1770);תוכח;4;(28, 9, 8, 6, 6963);אל תוכח לץ פן ישנאך הוכח לחכם ויאהבך
(14480, 67, 4);[8, 10, 300, 40];משיח;3727;(28, 18, 8, 6, 3727);חדרי;1;(28, 18, 8, 24, 14480);דברי נרגן כמתלהמים והם ירדו חדרי בטן
(23192, 71, 4);[8, 10, 300, 40];משיח;6044;(28, 28, 11, 1, 6044);חכם;1;(28, 28, 11, 1, 23192);חכם בעיניו איש עשיר ודל מבין יחקרנו
(9520, 74, 4);[8, 10, 300, 40];משיח;2421;(28, 12, 17, 1, 2421);יפיח;4;(28, 12, 17, 4, 9520);יפיח אמונה יגיד צדק ועד שקרים מרמה
