(n, d, k);[Gematria of ELS];ELS Search Term;Found in WordNumber In Text;WordCoordinatesDWTK;Found in Word In Text;LetterPositionIndex In Word;LetterCoordinatesD5K of First Letter in ELS;Found In Verse
(2157, 10, 4);[8, 10, 300, 40];משיח;566;(32, 2, 12, 7, 566);כחלל;2;(32, 2, 12, 29, 2157);לאמתם יאמרו איה דגן ויין בהתעטפם כחלל ברחבות עיר בהשתפך נפשם אל חיק אמתם
(3103, 23, 4);[8, 10, 300, 40];משיח;816;(32, 3, 11, 3, 816);ויפשחני;5;(32, 3, 11, 13, 3103);דרכי סורר ויפשחני שמני שמם
(544, 26, 4);[8, 10, 300, 40];משיח;143;(32, 1, 9, 5, 143);אחריתה;2;(32, 1, 9, 19, 544);טמאתה בשוליה לא זכרה אחריתה ותרד פלאים אין מנחם לה ראה יהוה את עניי כי הגדיל אויב
(5778, 26, 4);[8, 10, 300, 40];משיח;1490;(32, 5, 15, 6, 1490);מחלנו;2;(32, 5, 15, 21, 5778);שבת משוש לבנו נהפך לאבל מחלנו
(3435, 37, 4);[8, 10, 300, 40];משיח;898;(32, 3, 26, 2, 898);ויחיל;3;(32, 3, 26, 6, 3435);טוב ויחיל ודומם לתשועת יהוה
(4223, 37, 4);[8, 10, 300, 40];משיח;1108;(32, 3, 61, 5, 1108);מחשבתם;2;(32, 3, 61, 17, 4223);שמעת חרפתם יהוה כל מחשבתם עלי
(4688, 38, 4);[8, 10, 300, 40];משיח;1224;(32, 4, 8, 6, 1224);בחוצות;2;(32, 4, 8, 20, 4688);חשך משחור תארם לא נכרו בחוצות צפד עורם על עצמם יבש היה כעץ
(2866, 41, 4);[8, 10, 300, 40];משיח;754;(32, 2, 22, 14, 754);טפחתי;3;(32, 2, 22, 53, 2866);תקרא כיום מועד מגורי מסביב ולא היה ביום אף יהוה פליט ושריד אשר טפחתי ורביתי איבי כלם
(1947, 43, 4);[8, 10, 300, 40];משיח;514;(32, 2, 9, 6, 514);בריחיה;4;(32, 2, 9, 24, 1947);טבעו בארץ שעריה אבד ושבר בריחיה מלכה ושריה בגוים אין תורה גם נביאיה לא מצאו חזון מיהוה
(80, 47, 4);[8, 10, 300, 40];משיח;20;(32, 1, 2, 6, 20);לחיה;2;(32, 1, 2, 22, 80);בכו תבכה בלילה ודמעתה על לחיה אין לה מנחם מכל אהביה כל רעיה בגדו בה היו לה לאיבים
(1875, 87, 4);[8, 10, 300, 40];משיח;495;(32, 2, 8, 4, 495);חומת;1;(32, 2, 8, 14, 1875);חשב יהוה להשחית חומת בת ציון נטה קו לא השיב ידו מבלע ויאבל חל וחומה יחדו אמללו
(4688, 90, 4);[8, 10, 300, 40];משיח;1224;(32, 4, 8, 6, 1224);בחוצות;2;(32, 4, 8, 20, 4688);חשך משחור תארם לא נכרו בחוצות צפד עורם על עצמם יבש היה כעץ
(1407, 98, 4);[8, 10, 300, 40];משיח;374;(32, 1, 22, 15, 374);אנחתי;3;(32, 1, 22, 50, 1407);תבא כל רעתם לפניך ועולל למו כאשר עוללת לי על כל פשעי כי רבות אנחתי ולבי דוי
(1494, 98, 4);[8, 10, 300, 40];משיח;398;(32, 2, 2, 4, 398);חמל;1;(32, 2, 2, 10, 1494);בלע אדני לא חמל את כל נאות יעקב הרס בעברתו מבצרי בת יהודה הגיע לארץ חלל ממלכה ושריה
(1242, 100, 4);[8, 10, 300, 40];משיח;328;(32, 1, 20, 7, 328);חמרמרו;1;(32, 1, 20, 17, 1242);ראה יהוה כי צר לי מעי חמרמרו נהפך לבי בקרבי כי מרו מריתי מחוץ שכלה חרב בבית כמות
(544, 26, 5);[8, 10, 300, 40, 30];למשיח;143;(32, 1, 9, 5, 143);אחריתה;2;(32, 1, 9, 19, 544);טמאתה בשוליה לא זכרה אחריתה ותרד פלאים אין מנחם לה ראה יהוה את עניי כי הגדיל אויב
(5778, 26, 5);[8, 10, 300, 40, 30];למשיח;1490;(32, 5, 15, 6, 1490);מחלנו;2;(32, 5, 15, 21, 5778);שבת משוש לבנו נהפך לאבל מחלנו
(2147, 10, 5);[10, 8, 10, 300, 40];משיחי;564;(32, 2, 12, 5, 564);ויין;3;(32, 2, 12, 19, 2147);לאמתם יאמרו איה דגן ויין בהתעטפם כחלל ברחבות עיר בהשתפך נפשם אל חיק אמתם
(1904, 43, 5);[10, 8, 10, 300, 40];משיחי;504;(32, 2, 8, 13, 504);ויאבל;2;(32, 2, 8, 43, 1904);חשב יהוה להשחית חומת בת ציון נטה קו לא השיב ידו מבלע ויאבל חל וחומה יחדו אמללו
(1142, 100, 5);[20, 8, 10, 300, 40];משיחך;302;(32, 1, 18, 12, 302);מכאבי;2;(32, 1, 18, 40, 1142);צדיק הוא יהוה כי פיהו מריתי שמעו נא כל עמים וראו מכאבי בתולתי ובחורי הלכו בשבי
(518, 26, 5);[6, 8, 10, 300, 40];משיחו;137;(32, 1, 8, 17, 137);ותשב;1;(32, 1, 8, 61, 518);חטא חטאה ירושלם על כן לנידה היתה כל מכבדיה הזילוה כי ראו ערותה גם היא נאנחה ותשב אחור
(518, 26, 6);[6, 8, 10, 300, 40, 30];למשיחו;137;(32, 1, 8, 17, 137);ותשב;1;(32, 1, 8, 61, 518);חטא חטאה ירושלם על כן לנידה היתה כל מכבדיה הזילוה כי ראו ערותה גם היא נאנחה ותשב אחור
