(n, d, k);[Gematria of ELS];ELS Search Term;Found in WordNumber In Text;WordCoordinatesDWTK;Found in Word In Text;LetterPositionIndex In Word;LetterCoordinatesD5K of First Letter in ELS;Found In Verse
(14249, 1, 4);[8, 10, 300, 40];משיח;3485;(35, 7, 2, 11, 3485);רוחי;3;(35, 7, 2, 42, 14249);ענה דניאל ואמר חזה הוית בחזוי עם ליליא וארו ארבע רוחי שמיא מגיחן לימא רבא
(17592, 5, 4);[8, 10, 300, 40];משיח;4295;(35, 8, 25, 9, 4295);ישחית;3;(35, 8, 25, 41, 17592);ועל שכלו והצליח מרמה בידו ובלבבו יגדיל ובשלוה ישחית רבים ועל שר שרים יעמד ובאפס יד ישבר
(24216, 9, 4);[8, 10, 300, 40];משיח;5908;(35, 12, 12, 2, 5908);המחכה;3;(35, 12, 12, 7, 24216);אשרי המחכה ויגיע לימים אלף שלש מאות שלשים וחמשה
(7358, 40, 4);[8, 10, 300, 40];משיח;1796;(35, 4, 2, 7, 1796);וחזוי;2;(35, 4, 2, 31, 7358);חלם חזית וידחלנני והרהרין על משכבי וחזוי ראשי יבהלנני
(19593, 43, 4);[8, 10, 300, 40];משיח;4772;(35, 9, 26, 20, 4772);נחרצת;2;(35, 9, 26, 78, 19593);ואחרי השבעים ששים ושנים יכרת משיח ואין לו והעיר והקדש ישחית עם נגיד הבא וקצו בשטף ועד קץ מלחמה נחרצת שממות
(15233, 44, 4);[8, 10, 300, 40];משיח;3733;(35, 7, 14, 21, 3733);תתחבל;3;(35, 7, 14, 79, 15233);ולה יהב שלטן ויקר ומלכו וכל עממיא אמיא ולשניא לה יפלחון שלטנה שלטן עלם די לא יעדה ומלכותה די לא תתחבל
(15620, 49, 4);[8, 10, 300, 40];משיח;3828;(35, 7, 21, 1, 3828);חזה;1;(35, 7, 21, 1, 15620);חזה הוית וקרנא דכן עבדה קרב עם קדישין ויכלה להן
(20845, 54, 4);[8, 10, 300, 40];משיח;5089;(35, 10, 19, 5, 5089);חמדות;1;(35, 10, 19, 15, 20845);ויאמר אל תירא איש חמדות שלום לך חזק וחזק וכדברו עמי התחזקתי ואמרה ידבר אדני כי חזקתני
(19191, 66, 4);[8, 10, 300, 40];משיח;4676;(35, 9, 21, 9, 4676);בחזון;2;(35, 9, 21, 37, 19191);ועוד אני מדבר בתפלה והאיש גבריאל אשר ראיתי בחזון בתחלה מעף ביעף נגע אלי כעת מנחת ערב
(12230, 84, 4);[8, 10, 300, 40];משיח;2972;(35, 6, 5, 7, 2972);להשכחה;5;(35, 6, 5, 34, 12230);אדין סרכיא ואחשדרפניא הוו בעין עלה להשכחה לדניאל מצד מלכותא וכל עלה ושחיתה לא יכלין להשכחה כל קבל די מהימן הוא וכל שלו ושחיתה לא השתכחת עלוהי
