(n, d, k);[Gematria of ELS];ELS Search Term;Found in WordNumber In Text;WordCoordinatesDWTK;Found in Word In Text;LetterPositionIndex In Word;LetterCoordinatesD5K of First Letter in ELS;Found In Verse
(8003, 3, 4);[8, 10, 300, 40];משיח;1941;(37, 6, 15, 6, 1941);לחמשים;2;(37, 6, 15, 28, 8003);ותשלם החומה בעשרים וחמשה לאלול לחמשים ושנים יום
(8859, 3, 4);[8, 10, 300, 40];משיח;2143;(37, 7, 10, 5, 2143);חמשים;1;(37, 7, 10, 13, 8859);בני ארח שש מאות חמשים ושנים
(9133, 3, 4);[8, 10, 300, 40];משיח;2211;(37, 7, 21, 3, 2211);לחזקיה;2;(37, 7, 21, 8, 9133);בני אטר לחזקיה תשעים ושמנה
(9430, 3, 4);[8, 10, 300, 40];משיח;2283;(37, 7, 33, 4, 2283);חמשים;1;(37, 7, 33, 11, 9430);אנשי נבו אחר חמשים ושנים
(9620, 3, 4);[8, 10, 300, 40];משיח;2330;(37, 7, 40, 4, 2330);חמשים;1;(37, 7, 40, 10, 9620);בני אמר אלף חמשים ושנים
(17952, 3, 4);[8, 10, 300, 40];משיח;4302;(37, 11, 25, 2, 4302);החצרים;2;(37, 11, 25, 5, 17952);ואל החצרים בשדתם מבני יהודה ישבו בקרית הארבע ובנתיה ובדיבן ובנתיה וביקבצאל וחצריה
(9775, 7, 4);[8, 10, 300, 40];משיח;2367;(37, 7, 45, 11, 2367);חטיטא;1;(37, 7, 45, 36, 9775);השערים בני שלם בני אטר בני טלמן בני עקוב בני חטיטא בני שבי מאה שלשים ושמנה
(19152, 8, 4);[8, 10, 300, 40];משיח;4559;(37, 12, 27, 1, 4559);ובחנכת;3;(37, 12, 27, 3, 19152);ובחנכת חומת ירושלם בקשו את הלוים מכל מקומתם להביאם לירושלם לעשת חנכה ושמחה ובתודות ובשיר מצלתים נבלים ובכנרות
(9635, 9, 4);[8, 10, 300, 40];משיח;2333;(37, 7, 41, 2, 2333);פשחור;3;(37, 7, 41, 6, 9635);בני פשחור אלף מאתים ארבעים ושבעה
(9775, 10, 4);[8, 10, 300, 40];משיח;2367;(37, 7, 45, 11, 2367);חטיטא;1;(37, 7, 45, 36, 9775);השערים בני שלם בני אטר בני טלמן בני עקוב בני חטיטא בני שבי מאה שלשים ושמנה
(5209, 11, 4);[8, 10, 300, 40];משיח;1274;(37, 4, 10, 10, 1274);מחזיקים;2;(37, 4, 10, 38, 5209);ויהי מן היום ההוא חצי נערי עשים במלאכה וחצים מחזיקים והרמחים המגנים והקשתות והשרינים והשרים אחרי כל בית יהודה
(21310, 12, 4);[8, 10, 300, 40];משיח;5035;(37, 13, 14, 7, 5035);תמח;3;(37, 13, 14, 21, 21310);זכרה לי אלהי על זאת ואל תמח חסדי אשר עשיתי בבית אלהי ובמשמריו
(12934, 13, 4);[8, 10, 300, 40];משיח;3131;(37, 9, 8, 13, 3131);החתי;2;(37, 9, 8, 49, 12934);ומצאת את לבבו נאמן לפניך וכרות עמו הברית לתת את ארץ הכנעני החתי האמרי והפרזי והיבוסי והגרגשי לתת לזרעו ותקם את דבריך כי צדיק אתה
(8774, 14, 4);[8, 10, 300, 40];משיח;2121;(37, 7, 7, 13, 2121);נחום;2;(37, 7, 7, 56, 8774);הבאים עם זרבבל ישוע נחמיה עזריה רעמיה נחמני מרדכי בלשן מספרת בגוי נחום בענה מספר אנשי עם ישראל
(4407, 16, 4);[8, 10, 300, 40];משיח;1089;(37, 3, 35, 13, 1089);חומת;1;(37, 3, 35, 47, 4407);וטוביה העמני אצלו ויאמר גם אשר הם בונים אם יעלה שועל ופרץ חומת אבניהם
(21721, 23, 4);[8, 10, 300, 40];משיח;5132;(37, 13, 19, 14, 5132);יפתחום;4;(37, 13, 19, 61, 21721);ויהי כאשר צללו שערי ירושלם לפני השבת ואמרה ויסגרו הדלתות ואמרה אשר לא יפתחום עד אחר השבת ומנערי העמדתי על השערים לא יבוא משא ביום השבת
(19203, 25, 4);[8, 10, 300, 40];משיח;4570;(37, 12, 27, 12, 4570);חנכה;1;(37, 12, 27, 54, 19203);ובחנכת חומת ירושלם בקשו את הלוים מכל מקומתם להביאם לירושלם לעשת חנכה ושמחה ובתודות ובשיר מצלתים נבלים ובכנרות
(21311, 29, 4);[8, 10, 300, 40];משיח;5036;(37, 13, 14, 8, 5036);חסדי;1;(37, 13, 14, 22, 21311);זכרה לי אלהי על זאת ואל תמח חסדי אשר עשיתי בבית אלהי ובמשמריו
(18642, 41, 4);[8, 10, 300, 40];משיח;4451;(37, 12, 12, 10, 4451);חנניה;1;(37, 12, 12, 44, 18642);ובימי יויקים היו כהנים ראשי האבות לשריה מריה לירמיה חנניה
(3919, 46, 4);[8, 10, 300, 40];משיח;973;(37, 3, 27, 11, 973);חומת;1;(37, 3, 27, 47, 3919);אחריו החזיקו התקעים מדה שנית מנגד המגדל הגדול היוצא ועד חומת העפל
(3963, 46, 4);[8, 10, 300, 40];משיח;983;(37, 3, 29, 1, 983);אחריו;2;(37, 3, 29, 2, 3963);אחריו החזיק צדוק בן אמר נגד ביתו ואחריו החזיק שמעיה בן שכניה שמר שער המזרח
(19628, 48, 4);[8, 10, 300, 40];משיח;4662;(37, 12, 36, 9, 4662);חנני;1;(37, 12, 36, 39, 19628);ואחיו שמעיה ועזראל מללי גללי מעי נתנאל ויהודה חנני בכלי שיר דויד איש האלהים ועזרא הסופר לפניהם
(20070, 49, 4);[8, 10, 300, 40];משיח;4757;(37, 12, 43, 4, 4757);זבחים;3;(37, 12, 43, 17, 20070);ויזבחו ביום ההוא זבחים גדולים וישמחו כי האלהים שמחם שמחה גדולה וגם הנשים והילדים שמחו ותשמע שמחת ירושלם מרחוק
(20729, 50, 4);[8, 10, 300, 40];משיח;4903;(37, 13, 5, 10, 4903);המנחה;4;(37, 13, 5, 37, 20729);ויעש לו לשכה גדולה ושם היו לפנים נתנים את המנחה הלבונה והכלים ומעשר הדגן התירוש והיצהר מצות הלוים והמשררים והשוערים ותרומת הכהנים
(20401, 55, 4);[8, 10, 300, 40];משיח;4826;(37, 12, 47, 6, 4826);נחמיה;2;(37, 12, 47, 24, 20401);וכל ישראל בימי זרבבל ובימי נחמיה נתנים מניות המשררים והשערים דבר יום ביומו ומקדשים ללוים והלוים מקדשים לבני אהרן
(3059, 56, 4);[8, 10, 300, 40];משיח;761;(37, 3, 13, 16, 761);בחומה;2;(37, 3, 13, 70, 3059);את שער הגיא החזיק חנון וישבי זנוח המה בנוהו ויעמידו דלתתיו מנעליו ובריחיו ואלף אמה בחומה עד שער השפות
(2829, 63, 4);[8, 10, 300, 40];משיח;704;(37, 3, 9, 8, 704);חצי;1;(37, 3, 9, 23, 2829);ועל ידם החזיק רפיה בן חור שר חצי פלך ירושלם
(4664, 76, 4);[8, 10, 300, 40];משיח;1150;(37, 4, 2, 3, 1150);יחדו;2;(37, 4, 2, 11, 4664);ויקשרו כלם יחדו לבוא להלחם בירושלם ולעשות לו תועה
(21562, 76, 4);[8, 10, 300, 40];משיח;5093;(37, 13, 17, 14, 5093);ומחללים;3;(37, 13, 17, 49, 21562);ואריבה את חרי יהודה ואמרה להם מה הדבר הרע הזה אשר אתם עשים ומחללים את יום השבת
