(n, d, k);[Gematria of ELS];ELS Search Term;Found in WordNumber In Text;WordCoordinatesDWTK;Found in Word In Text;LetterPositionIndex In Word;LetterCoordinatesD5K of First Letter in ELS;Found In Verse
(2875, 1, 4);[8, 10, 300, 40];משיח;727;(38, 2, 32, 3, 727);אחי;2;(38, 2, 32, 9, 2875);ובני ידע אחי שמי יתר ויונתן וימת יתר לא בנים
(17542, 5, 4);[8, 10, 300, 40];משיח;4282;(38, 11, 11, 8, 4282);חכמוני;1;(38, 11, 11, 30, 17542);ואלה מספר הגברים אשר לדויד ישבעם בן חכמוני ראש השלושים הוא עורר את חניתו על שלש מאות חלל בפעם אחת
(22034, 5, 4);[8, 10, 300, 40];משיח;5360;(38, 14, 1, 10, 5360);וחרשי;2;(38, 14, 1, 37, 22034);וישלח חירם מלך צר מלאכים אל דויד ועצי ארזים וחרשי קיר וחרשי עצים לבנות לו בית
(3933, 6, 4);[8, 10, 300, 40];משיח;995;(38, 3, 4, 4, 995);בחברון;2;(38, 3, 4, 11, 3933);ששה נולד לו בחברון וימלך שם שבע שנים וששה חדשים ושלשים ושלוש שנה מלך בירושלם
(6430, 8, 4);[8, 10, 300, 40];משיח;1590;(38, 4, 41, 17, 1590);ויחרימם;3;(38, 4, 41, 75, 6430);ויבאו אלה הכתובים בשמות בימי יחזקיהו מלך יהודה ויכו את אהליהם ואת המעינים אשר נמצאו שמה ויחרימם עד היום הזה וישבו תחתיהם כי מרעה לצאנם שם
(15202, 8, 4);[8, 10, 300, 40];משיח;3709;(38, 9, 25, 1, 3709);ואחיהם;3;(38, 9, 25, 3, 15202);ואחיהם בחצריהם לבוא לשבעת הימים מעת אל עת עם אלה
(7798, 9, 4);[8, 10, 300, 40];משיח;1918;(38, 5, 25, 5, 1918);אחרי;2;(38, 5, 25, 24, 7798);וימעלו באלהי אבתיהם ויזנו אחרי אלהי עמי הארץ אשר השמיד אלהים מפניהם
(9954, 10, 4);[8, 10, 300, 40];משיח;2466;(38, 6, 46, 4, 2466);ממשפחת;5;(38, 6, 46, 20, 9954);ולבני קהת הנותרים ממשפחת המטה ממחצית מטה חצי מנשה בגורל ערים עשר
(14607, 11, 4);[8, 10, 300, 40];משיח;3568;(38, 9, 13, 1, 3568);ואחיהם;3;(38, 9, 13, 3, 14607);ואחיהם ראשים לבית אבותם אלף ושבע מאות וששים גבורי חיל מלאכת עבודת בית האלהים
(7735, 14, 4);[8, 10, 300, 40];משיח;1905;(38, 5, 24, 11, 1905);ויחדיאל;3;(38, 5, 24, 54, 7735);ואלה ראשי בית אבותם ועפר וישעי ואליאל ועזריאל וירמיה והודויה ויחדיאל אנשים גבורי חיל אנשי שמות ראשים לבית אבותם
(20930, 16, 4);[8, 10, 300, 40];משיח;5086;(38, 12, 39, 10, 5086);חברונה;1;(38, 12, 39, 34, 20930);כל אלה אנשי מלחמה עדרי מערכה בלבב שלם באו חברונה להמליך את דויד על כל ישראל וגם כל שרית ישראל לב אחד להמליך את דויד
(5173, 18, 4);[8, 10, 300, 40];משיח;1286;(38, 4, 12, 9, 1286);תחנה;2;(38, 4, 12, 30, 5173);ואשתון הוליד את בית רפא ואת פסח ואת תחנה אבי עיר נחש אלה אנשי רכה
(29831, 18, 4);[8, 10, 300, 40];משיח;7248;(38, 19, 17, 18, 7248);וילחמו;4;(38, 19, 17, 76, 29831);ויגד לדויד ויאסף את כל ישראל ויעבר הירדן ויבא אלהם ויערך אלהם ויערך דויד לקראת ארם מלחמה וילחמו עמו
(1306, 19, 4);[8, 10, 300, 40];משיח;328;(38, 1, 44, 4, 328);תחתיו;2;(38, 1, 44, 14, 1306);וימת בלע וימלך תחתיו יובב בן זרח מבצרה
(28351, 19, 4);[8, 10, 300, 40];משיח;6883;(38, 18, 10, 27, 6883);ונחשת;3;(38, 18, 10, 103, 28351);וישלח את הדורם בנו אל המלך דויד לשאול לו לשלום ולברכו על אשר נלחם בהדדעזר ויכהו כי איש מלחמות תעו היה הדדעזר וכל כלי זהב וכסף ונחשת
(3691, 20, 4);[8, 10, 300, 40];משיח;941;(38, 2, 54, 10, 941);המנחתי;4;(38, 2, 54, 40, 3691);בני שלמא בית לחם ונטופתי עטרות בית יואב וחצי המנחתי הצרעי
