(n, d, k);[Gematria of ELS];ELS Search Term;Found in WordNumber In Text;WordCoordinatesDWTK;Found in Word In Text;LetterPositionIndex In Word;LetterCoordinatesD5K of First Letter in ELS;Found In Verse
(479561, 2, 4);[8, 10, 300, 40];משיח;122774;(14, 39, 6, 1, 122774);ושלחתי;4;(14, 39, 6, 4, 479561);ושלחתי אש במגוג ובישבי האיים לבטח וידעו כי אני יהוה
(511130, 2, 4);[8, 10, 300, 40];משיח;130677;(17, 2, 2, 1, 130677);ושלחתי;4;(17, 2, 2, 4, 511130);ושלחתי אש במואב ואכלה ארמנות הקריות ומת בשאון מואב בתרועה בקול שופר
(528268, 2, 4);[8, 10, 300, 40];משיח;135028;(21, 2, 1, 10, 135028);חגיך;1;(21, 2, 1, 36, 528268);הנה על ההרים רגלי מבשר משמיע שלום חגי יהודה חגיך שלמי נדריך כי לא יוסיף עוד לעבור בך בליעל כלה נכרת
(51647, 3, 4);[8, 10, 300, 40];משיח;13090;(7, 7, 11, 15, 13090);החמשים;2;(7, 7, 11, 58, 51647);ושמעת מה ידברו ואחר תחזקנה ידיך וירדת במחנה וירד הוא ופרה נערו אל קצה החמשים אשר במחנה
(107564, 3, 4);[8, 10, 300, 40];משיח;27278;(8, 17, 52, 16, 27278);חללי;1;(8, 17, 52, 67, 107564);ויקמו אנשי ישראל ויהודה וירעו וירדפו את הפלשתים עד בואך גיא ועד שערי עקרון ויפלו חללי פלשתים בדרך שערים ועד גת ועד עקרון
(196964, 3, 4);[8, 10, 300, 40];משיח;50611;(10, 11, 16, 3, 50611);חדשים;1;(10, 11, 16, 6, 196964);כי ששת חדשים ישב שם יואב וכל ישראל עד הכרית כל זכר באדום
(212591, 3, 4);[8, 10, 300, 40];משיח;54700;(10, 18, 31, 1, 54700);ויקח;4;(10, 18, 31, 4, 212591);ויקח אליהו שתים עשרה אבנים כמספר שבטי בני יעקב אשר היה דבר יהוה אליו לאמר ישראל יהיה שמך
(226228, 3, 4);[8, 10, 300, 40];משיח;58216;(11, 3, 7, 2, 58216);וישלח;5;(11, 3, 7, 9, 226228);וילך וישלח אל יהושפט מלך יהודה לאמר מלך מואב פשע בי התלך אתי אל מואב למלחמה ויאמר אעלה כמוני כמוך כעמי כעמך כסוסי כסוסיך
(248898, 3, 4);[8, 10, 300, 40];משיח;64051;(11, 15, 2, 7, 64051);וחמשים;2;(11, 15, 2, 21, 248898);בן שש עשרה שנה היה במלכו וחמשים ושתים שנה מלך בירושלם ושם אמו יכליהו מירושלם
(250358, 3, 4);[8, 10, 300, 40];משיח;64430;(11, 15, 27, 2, 64430);חמשים;1;(11, 15, 27, 5, 250358);בשנת חמשים ושתים שנה לעזריה מלך יהודה מלך פקח בן רמליהו על ישראל בשמרון עשרים שנה
(502110, 3, 4);[8, 10, 300, 40];משיח;128430;(15, 8, 7, 9, 128430);צמח;3;(15, 8, 7, 32, 502110);כי רוח יזרעו וסופתה יקצרו קמה אין לו צמח בלי יעשה קמח אולי יעשה זרים יבלעהו
(48535, 4, 4);[8, 10, 300, 40];משיח;12264;(7, 6, 5, 16, 12264);לשחתה;3;(7, 6, 5, 67, 48535);כי הם ומקניהם יעלו ואהליהם יבאו כדי ארבה לרב ולהם ולגמליהם אין מספר ויבאו בארץ לשחתה
(149591, 4, 4);[8, 10, 300, 40];משיח;38275;(9, 13, 22, 20, 38275);אחתו;2;(9, 13, 22, 65, 149591);ולא דבר אבשלום עם אמנון למרע ועד טוב כי שנא אבשלום את אמנון על דבר אשר ענה את תמר אחתו
(198565, 4, 4);[8, 10, 300, 40];משיח;51029;(10, 11, 40, 8, 51029);ויברח;5;(10, 11, 40, 35, 198565);ויבקש שלמה להמית את ירבעם ויקם ירבעם ויברח מצרים אל שישק מלך מצרים ויהי במצרים עד מות שלמה
(379456, 4, 4);[8, 10, 300, 40];משיח;97350;(13, 29, 8, 18, 97350);חלמתיכם;1;(13, 29, 8, 69, 379456);כי כה אמר יהוה צבאות אלהי ישראל אל ישיאו לכם נביאיכם אשר בקרבכם וקסמיכם ואל תשמעו אל חלמתיכם אשר אתם מחלמים
(167675, 5, 4);[8, 10, 300, 40];משיח;43031;(9, 22, 12, 5, 43031);חשרת;1;(9, 22, 12, 19, 167675);וישת חשך סביבתיו סכות חשרת מים עבי שחקים
(325547, 5, 4);[8, 10, 300, 40];משיח;83550;(12, 54, 9, 3, 83550);נח;2;(12, 54, 9, 6, 325547);כי מי נח זאת לי אשר נשבעתי מעבר מי נח עוד על הארץ כן נשבעתי מקצף עליך ומגער בך
(413538, 5, 4);[8, 10, 300, 40];משיח;106095;(13, 49, 30, 17, 106095);וחשב;2;(13, 49, 30, 64, 413538);נסו נדו מאד העמיקו לשבת ישבי חצור נאם יהוה כי יעץ עליכם נבוכדראצר מלך בבל עצה וחשב עליהם מחשבה
