(n, d, k);[Gematria of ELS];ELS Search Term;Found in WordNumber In Text;WordCoordinatesDWTK;Found in Word In Text;LetterPositionIndex In Word;LetterCoordinatesD5K of First Letter in ELS;Found In Verse
(28882, 3, 4);[8, 10, 300, 40];משיח;7362;(8, 17, 52, 16, 7362);חללי;1;(8, 17, 52, 67, 28882);ויקמו אנשי ישראל ויהודה וירעו וירדפו את הפלשתים עד בואך גיא ועד שערי עקרון ויפלו חללי פלשתים בדרך שערים ועד גת ועד עקרון
(70909, 4, 4);[8, 10, 300, 40];משיח;18359;(9, 13, 22, 20, 18359);אחתו;2;(9, 13, 22, 65, 70909);ולא דבר אבשלום עם אמנון למרע ועד טוב כי שנא אבשלום את אמנון על דבר אשר ענה את תמר אחתו
(88993, 5, 4);[8, 10, 300, 40];משיח;23115;(9, 22, 12, 5, 23115);חשרת;1;(9, 22, 12, 19, 88993);וישת חשך סביבתיו סכות חשרת מים עבי שחקים
(17921, 7, 4);[8, 10, 300, 40];משיח;4556;(8, 13, 7, 13, 4556);חרדו;1;(8, 13, 7, 49, 17921);ועברים עברו את הירדן ארץ גד וגלעד ושאול עודנו בגלגל וכל העם חרדו אחריו
(47900, 8, 4);[8, 10, 300, 40];משיח;12375;(8, 29, 2, 9, 12375);באחרנה;3;(8, 29, 2, 46, 47900);וסרני פלשתים עברים למאות ולאלפים ודוד ואנשיו עברים באחרנה עם אכיש
(74917, 8, 4);[8, 10, 300, 40];משיח;19415;(9, 15, 12, 10, 19415);בזבחו;4;(9, 15, 12, 45, 74917);וישלח אבשלום את אחיתפל הגילני יועץ דוד מעירו מגלה בזבחו את הזבחים ויהי הקשר אמץ והעם הולך ורב את אבשלום
(20312, 10, 4);[8, 10, 300, 40];משיח;5154;(8, 14, 23, 7, 5154);והמלחמה;5;(8, 14, 23, 29, 20312);ויושע יהוה ביום ההוא את ישראל והמלחמה עברה את בית און
(41811, 11, 4);[8, 10, 300, 40];משיח;10774;(8, 25, 18, 5, 10774);לחם;2;(8, 25, 18, 22, 41811);ותמהר אבוגיל ותקח מאתים לחם ושנים נבלי יין וחמש צאן עשוות וחמש סאים קלי ומאה צמקים ומאתים דבלים ותשם על החמרים
(77928, 12, 4);[8, 10, 300, 40];משיח;20209;(9, 16, 23, 2, 20209);אחיתפל;2;(9, 16, 23, 6, 77928);ועצת אחיתפל אשר יעץ בימים ההם כאשר ישאל בדבר האלהים כן כל עצת אחיתפל גם לדוד גם לאבשלם
(77577, 14, 4);[8, 10, 300, 40];משיח;20113;(9, 16, 16, 14, 20113);יחי;2;(9, 16, 16, 52, 77577);ויהי כאשר בא חושי הארכי רעה דוד אל אבשלום ויאמר חושי אל אבשלום יחי המלך יחי המלך
(84381, 14, 4);[8, 10, 300, 40];משיח;21912;(9, 19, 32, 9, 21912);לשלחו;4;(9, 19, 32, 41, 84381);וברזלי הגלעדי ירד מרגלים ויעבר את המלך הירדן לשלחו את בירדן
(27748, 15, 4);[8, 10, 300, 40];משיח;7074;(8, 17, 36, 15, 7074);חרף;1;(8, 17, 36, 47, 27748);גם את הארי גם הדב הכה עבדך והיה הפלשתי הערל הזה כאחד מהם כי חרף מערכת אלהים חיים
(90140, 15, 4);[8, 10, 300, 40];משיח;23399;(9, 23, 1, 4, 23399);האחרנים;3;(9, 23, 1, 14, 90140);ואלה דברי דוד האחרנים נאם דוד בן ישי ונאם הגבר הקם על משיח אלהי יעקב ונעים זמרות ישראל
(10569, 18, 4);[8, 10, 300, 40];משיח;2690;(8, 8, 11, 11, 2690);יקח;3;(8, 8, 11, 41, 10569);ויאמר זה יהיה משפט המלך אשר ימלך עליכם את בניכם יקח ושם לו במרכבתו ובפרשיו ורצו לפני מרכבתו
(41804, 18, 4);[8, 10, 300, 40];משיח;10772;(8, 25, 18, 3, 10772);ותקח;4;(8, 25, 18, 15, 41804);ותמהר אבוגיל ותקח מאתים לחם ושנים נבלי יין וחמש צאן עשוות וחמש סאים קלי ומאה צמקים ומאתים דבלים ותשם על החמרים
(91621, 19, 4);[8, 10, 300, 40];משיח;23784;(9, 23, 30, 4, 23784);מנחלי;3;(9, 23, 30, 17, 91621);בניהו פרעתני הדי מנחלי געש
(26251, 23, 4);[8, 10, 300, 40];משיח;6694;(8, 17, 12, 7, 6694);לחם;2;(8, 17, 12, 23, 26251);ודוד בן איש אפרתי הזה מבית לחם יהודה ושמו ישי ולו שמנה בנים והאיש בימי שאול זקן בא באנשים
(2875, 24, 4);[8, 10, 300, 40];משיח;762;(8, 2, 25, 2, 762);יחטא;2;(8, 2, 25, 4, 2875);אם יחטא איש לאיש ופללו אלהים ואם ליהוה יחטא איש מי יתפלל לו ולא ישמעו לקול אביהם כי חפץ יהוה להמיתם
(36085, 26, 4);[8, 10, 300, 40];משיח;9270;(8, 22, 1, 9, 9270);אחיו;2;(8, 22, 1, 33, 36085);וילך דוד משם וימלט אל מערת עדלם וישמעו אחיו וכל בית אביו וירדו אליו שמה
(50138, 27, 4);[8, 10, 300, 40];משיח;12966;(8, 30, 23, 6, 12966);אחי;2;(8, 30, 23, 18, 50138);ויאמר דוד לא תעשו כן אחי את אשר נתן יהוה לנו וישמר אתנו ויתן את הגדוד הבא עלינו בידנו
(83668, 28, 4);[8, 10, 300, 40];משיח;21718;(9, 19, 21, 6, 21718);חטאתי;1;(9, 19, 21, 15, 83668);כי ידע עבדך כי אני חטאתי והנה באתי היום ראשון לכל בית יוסף לרדת לקראת אדני המלך
(92596, 30, 4);[8, 10, 300, 40];משיח;24044;(9, 24, 12, 14, 24044);אחת;2;(9, 24, 12, 45, 92596);הלוך ודברת אל דוד כה אמר יהוה שלש אנכי נוטל עליך בחר לך אחת מהם ואעשה לך
(50218, 31, 4);[8, 10, 300, 40];משיח;12988;(8, 30, 24, 9, 12988);במלחמה;4;(8, 30, 24, 31, 50218);ומי ישמע לכם לדבר הזה כי כחלק הירד במלחמה וכחלק הישב על הכלים יחדו יחלקו
(67548, 32, 4);[8, 10, 300, 40];משיח;17464;(9, 12, 1, 1, 17464);וישלח;5;(9, 12, 1, 5, 67548);וישלח יהוה את נתן אל דוד ויבא אליו ויאמר לו שני אנשים היו בעיר אחת אחד עשיר ואחד ראש
(15758, 33, 4);[8, 10, 300, 40];משיח;3998;(8, 11, 15, 14, 3998);זבחים;3;(8, 11, 15, 53, 15758);וילכו כל העם הגלגל וימלכו שם את שאול לפני יהוה בגלגל ויזבחו שם זבחים שלמים לפני יהוה וישמח שם שאול וכל אנשי ישראל עד מאד
(25233, 35, 4);[8, 10, 300, 40];משיח;6442;(8, 16, 18, 2, 6442);אחד;2;(8, 16, 18, 6, 25233);ויען אחד מהנערים ויאמר הנה ראיתי בן לישי בית הלחמי ידע נגן וגבור חיל ואיש מלחמה ונבון דבר ואיש תאר ויהוה עמו
(25691, 35, 4);[8, 10, 300, 40];משיח;6560;(8, 17, 2, 9, 6560);מלחמה;3;(8, 17, 2, 41, 25691);ושאול ואיש ישראל נאספו ויחנו בעמק האלה ויערכו מלחמה לקראת פלשתים
(64407, 37, 4);[8, 10, 300, 40];משיח;16655;(9, 9, 10, 21, 16655);שלחני;3;(9, 9, 10, 83, 64407);ועבדת לו את האדמה אתה ובניך ועבדיך והבאת והיה לבן אדניך לחם ואכלו ומפיבשת בן אדניך יאכל תמיד לחם על שלחני ולציבא חמשה עשר בנים ועשרים עבדים
