(n, d, k);[Gematria of ELS];ELS Search Term;Found in WordNumber In Text;WordCoordinatesDWTK;Found in Word In Text;LetterPositionIndex In Word;LetterCoordinatesD5K of First Letter in ELS;Found In Verse
(24746, 3, 4);[8, 10, 300, 40];משיח;6401;(10, 11, 16, 3, 6401);חדשים;1;(10, 11, 16, 6, 24746);כי ששת חדשים ישב שם יואב וכל ישראל עד הכרית כל זכר באדום
(40373, 3, 4);[8, 10, 300, 40];משיח;10490;(10, 18, 31, 1, 10490);ויקח;4;(10, 18, 31, 4, 40373);ויקח אליהו שתים עשרה אבנים כמספר שבטי בני יעקב אשר היה דבר יהוה אליו לאמר ישראל יהיה שמך
(54010, 3, 4);[8, 10, 300, 40];משיח;14006;(11, 3, 7, 2, 14006);וישלח;5;(11, 3, 7, 9, 54010);וילך וישלח אל יהושפט מלך יהודה לאמר מלך מואב פשע בי התלך אתי אל מואב למלחמה ויאמר אעלה כמוני כמוך כעמי כעמך כסוסי כסוסיך
(76680, 3, 4);[8, 10, 300, 40];משיח;19841;(11, 15, 2, 7, 19841);וחמשים;2;(11, 15, 2, 21, 76680);בן שש עשרה שנה היה במלכו וחמשים ושתים שנה מלך בירושלם ושם אמו יכליהו מירושלם
(78140, 3, 4);[8, 10, 300, 40];משיח;20220;(11, 15, 27, 2, 20220);חמשים;1;(11, 15, 27, 5, 78140);בשנת חמשים ושתים שנה לעזריה מלך יהודה מלך פקח בן רמליהו על ישראל בשמרון עשרים שנה
(26347, 4, 4);[8, 10, 300, 40];משיח;6819;(10, 11, 40, 8, 6819);ויברח;5;(10, 11, 40, 35, 26347);ויבקש שלמה להמית את ירבעם ויקם ירבעם ויברח מצרים אל שישק מלך מצרים ויהי במצרים עד מות שלמה
(78172, 6, 4);[8, 10, 300, 40];משיח;20227;(11, 15, 27, 9, 20227);פקח;3;(11, 15, 27, 37, 78172);בשנת חמשים ושתים שנה לעזריה מלך יהודה מלך פקח בן רמליהו על ישראל בשמרון עשרים שנה
(14722, 8, 4);[8, 10, 300, 40];משיח;3799;(10, 7, 32, 10, 3799);האחד;3;(10, 7, 32, 56, 14722);וארבעת האופנים למתחת למסגרות וידות האופנים במכונה וקומת האופן האחד אמה וחצי האמה
(77738, 8, 4);[8, 10, 300, 40];משיח;20119;(11, 15, 20, 14, 20119);חמשים;1;(11, 15, 20, 46, 77738);ויצא מנחם את הכסף על ישראל על כל גבורי החיל לתת למלך אשור חמשים שקלים כסף לאיש אחד וישב מלך אשור ולא עמד שם בארץ
(15090, 10, 4);[8, 10, 300, 40];משיח;3885;(10, 7, 39, 4, 3885);חמש;1;(10, 7, 39, 13, 15090);ויתן את המכנות חמש על כתף הבית מימין וחמש על כתף הבית משמאלו ואת הים נתן מכתף הבית הימנית קדמה ממול נגב
(51390, 10, 4);[8, 10, 300, 40];משיח;13336;(11, 1, 11, 7, 13336);וחמשיו;2;(11, 1, 11, 25, 51390);וישב וישלח אליו שר חמשים אחר וחמשיו ויען וידבר אליו איש האלהים כה אמר המלך מהרה רדה
(53231, 11, 4);[8, 10, 300, 40];משיח;13806;(11, 2, 17, 6, 13806);שלחו;3;(11, 2, 17, 20, 53231);ויפצרו בו עד בש ויאמר שלחו וישלחו חמשים איש ויבקשו שלשה ימים ולא מצאהו
(23567, 12, 4);[8, 10, 300, 40];משיח;6101;(10, 10, 25, 4, 6101);מנחתו;3;(10, 10, 25, 15, 23567);והמה מבאים איש מנחתו כלי כסף וכלי זהב ושלמות ונשק ובשמים סוסים ופרדים דבר שנה בשנה
(1968, 13, 4);[8, 10, 300, 40];משיח;509;(10, 1, 34, 14, 509);יחי;2;(10, 1, 34, 56, 1968);ומשח אתו שם צדוק הכהן ונתן הנביא למלך על ישראל ותקעתם בשופר ואמרתם יחי המלך שלמה
(55881, 13, 4);[8, 10, 300, 40];משיח;14492;(11, 4, 8, 10, 14492);ותחזק;3;(11, 4, 8, 38, 55881);ויהי היום ויעבר אלישע אל שונם ושם אשה גדולה ותחזק בו לאכל לחם ויהי מדי עברו יסר שמה לאכל לחם
(77609, 13, 4);[8, 10, 300, 40];משיח;20083;(11, 15, 18, 13, 20083);החטיא;2;(11, 15, 18, 43, 77609);ויעש הרע בעיני יהוה לא סר מעל חטאות ירבעם בן נבט אשר החטיא את ישראל כל ימיו
(98174, 13, 4);[8, 10, 300, 40];משיח;25343;(11, 25, 26, 8, 25343);החילים;2;(11, 25, 26, 27, 98174);ויקמו כל העם מקטן ועד גדול ושרי החילים ויבאו מצרים כי יראו מפני כשדים
(10352, 14, 4);[8, 10, 300, 40];משיח;2737;(10, 5, 28, 5, 2737);בחדש;2;(10, 5, 28, 23, 10352);וישלחם לבנונה עשרת אלפים בחדש חליפות חדש יהיו בלבנון שנים חדשים בביתו ואדנירם על המס
(12273, 16, 4);[8, 10, 300, 40];משיח;3209;(10, 6, 31, 2, 3209);פתח;3;(10, 6, 31, 6, 12273);ואת פתח הדביר עשה דלתות עצי שמן האיל מזוזות חמשית
(50642, 17, 4);[8, 10, 300, 40];משיח;13144;(11, 1, 1, 4, 13144);אחרי;2;(11, 1, 1, 17, 50642);ויפשע מואב בישראל אחרי מות אחאב
(9639, 18, 4);[8, 10, 300, 40];משיח;2545;(10, 5, 17, 22, 2545);תחת;2;(10, 5, 17, 73, 9639);אתה ידעת את דוד אבי כי לא יכל לבנות בית לשם יהוה אלהיו מפני המלחמה אשר סבבהו עד תת יהוה אתם תחת כפות רגלו
(9955, 18, 4);[8, 10, 300, 40];משיח;2634;(10, 5, 22, 2, 2634);חירם;1;(10, 5, 22, 6, 9955);וישלח חירם אל שלמה לאמר שמעתי את אשר שלחת אלי אני אעשה את כל חפצך בעצי ארזים ובעצי ברושים
(54532, 18, 4);[8, 10, 300, 40];משיח;14141;(11, 3, 14, 3, 14141);חי;1;(11, 3, 14, 11, 54532);ויאמר אלישע חי יהוה צבאות אשר עמדתי לפניו כי לולי פני יהושפט מלך יהודה אני נשא אם אביט אליך ואם אראך
