(n, d, k);[Gematria of ELS];ELS Search Term;Found in WordNumber In Text;WordCoordinatesDWTK;Found in Word In Text;LetterPositionIndex In Word;LetterCoordinatesD5K of First Letter in ELS;Found In Verse
(2875, 1, 4);[8, 10, 300, 40];משיח;727;(38, 2, 32, 3, 727);אחי;2;(38, 2, 32, 9, 2875);ובני ידע אחי שמי יתר ויונתן וימת יתר לא בנים
(46139, 3, 4);[8, 10, 300, 40];משיח;11138;(39, 2, 6, 18, 11138);החכמים;2;(39, 2, 6, 77, 46139);ועתה שלח לי איש חכם לעשות בזהב ובכסף ובנחשת ובברזל ובארגון וכרמיל ותכלת וידע לפתח פתוחים עם החכמים אשר עמי ביהודה ובירושלם אשר הכין דויד אבי
(72011, 3, 4);[8, 10, 300, 40];משיח;17524;(39, 20, 35, 3, 17524);אתחבר;3;(39, 20, 35, 10, 72011);ואחרי כן אתחבר יהושפט מלך יהודה עם אחזיה מלך ישראל הוא הרשיע לעשות
(80045, 3, 4);[8, 10, 300, 40];משיח;19497;(39, 26, 3, 7, 19497);וחמשים;2;(39, 26, 3, 23, 80045);בן שש עשרה שנה עזיהו במלכו וחמשים ושתים שנה מלך בירושלם ושם אמו יכיליה מן ירושלם
(93184, 3, 4);[8, 10, 300, 40];משיח;22574;(39, 33, 19, 21, 22574);חוזי;1;(39, 33, 19, 90, 93184);ותפלתו והעתר לו וכל חטאתו ומעלו והמקמות אשר בנה בהם במות והעמיד האשרים והפסלים לפני הכנעו הנם כתובים על דברי חוזי
(93708, 3, 4);[8, 10, 300, 40];משיח;22696;(39, 34, 4, 6, 22696);והחמנים;3;(39, 34, 4, 28, 93708);וינתצו לפניו את מזבחות הבעלים והחמנים אשר למעלה מעליהם גדע והאשרים והפסלים והמסכות שבר והדק ויזרק על פני הקברים הזבחים להם
(17542, 5, 4);[8, 10, 300, 40];משיח;4282;(38, 11, 11, 8, 4282);חכמוני;1;(38, 11, 11, 30, 17542);ואלה מספר הגברים אשר לדויד ישבעם בן חכמוני ראש השלושים הוא עורר את חניתו על שלש מאות חלל בפעם אחת
(22034, 5, 4);[8, 10, 300, 40];משיח;5360;(38, 14, 1, 10, 5360);וחרשי;2;(38, 14, 1, 37, 22034);וישלח חירם מלך צר מלאכים אל דויד ועצי ארזים וחרשי קיר וחרשי עצים לבנות לו בית
(53819, 5, 4);[8, 10, 300, 40];משיח;13040;(39, 7, 8, 18, 13040);נחל;2;(39, 7, 8, 61, 53819);ויעש שלמה את החג בעת ההיא שבעת ימים וכל ישראל עמו קהל גדול מאד מלבוא חמת עד נחל מצרים
(3933, 6, 4);[8, 10, 300, 40];משיח;995;(38, 3, 4, 4, 995);בחברון;2;(38, 3, 4, 11, 3933);ששה נולד לו בחברון וימלך שם שבע שנים וששה חדשים ושלשים ושלוש שנה מלך בירושלם
(44886, 6, 4);[8, 10, 300, 40];משיח;10822;(39, 1, 6, 6, 10822);הנחשת;3;(39, 1, 6, 19, 44886);ויעל שלמה שם על מזבח הנחשת לפני יהוה אשר לאהל מועד ויעל עליו עלות אלף
(52866, 6, 4);[8, 10, 300, 40];משיח;12803;(39, 6, 37, 9, 12803);והתחננו;4;(39, 6, 37, 33, 52866);והשיבו אל לבבם בארץ אשר נשבו שם ושבו והתחננו אליך בארץ שבים לאמר חטאנו העוינו ורשענו
(6430, 8, 4);[8, 10, 300, 40];משיח;1590;(38, 4, 41, 17, 1590);ויחרימם;3;(38, 4, 41, 75, 6430);ויבאו אלה הכתובים בשמות בימי יחזקיהו מלך יהודה ויכו את אהליהם ואת המעינים אשר נמצאו שמה ויחרימם עד היום הזה וישבו תחתיהם כי מרעה לצאנם שם
(15202, 8, 4);[8, 10, 300, 40];משיח;3709;(38, 9, 25, 1, 3709);ואחיהם;3;(38, 9, 25, 3, 15202);ואחיהם בחצריהם לבוא לשבעת הימים מעת אל עת עם אלה
(7798, 9, 4);[8, 10, 300, 40];משיח;1918;(38, 5, 25, 5, 1918);אחרי;2;(38, 5, 25, 24, 7798);וימעלו באלהי אבתיהם ויזנו אחרי אלהי עמי הארץ אשר השמיד אלהים מפניהם
(50650, 9, 4);[8, 10, 300, 40];משיח;12221;(39, 6, 6, 6, 12221);ואבחר;4;(39, 6, 6, 26, 50650);ואבחר בירושלם להיות שמי שם ואבחר בדויד להיות על עמי ישראל
(9954, 10, 4);[8, 10, 300, 40];משיח;2466;(38, 6, 46, 4, 2466);ממשפחת;5;(38, 6, 46, 20, 9954);ולבני קהת הנותרים ממשפחת המטה ממחצית מטה חצי מנשה בגורל ערים עשר
(59741, 10, 4);[8, 10, 300, 40];משיח;14519;(39, 11, 14, 6, 14519);ואחזתם;3;(39, 11, 14, 23, 59741);כי עזבו הלוים את מגרשיהם ואחזתם וילכו ליהודה ולירושלם כי הזניחם ירבעם ובניו מכהן ליהוה
(82291, 10, 4);[8, 10, 300, 40];משיח;20037;(39, 28, 6, 2, 20037);פקח;3;(39, 28, 6, 8, 82291);ויהרג פקח בן רמליהו ביהודה מאה ועשרים אלף ביום אחד הכל בני חיל בעזבם את יהוה אלהי אבותם
(14607, 11, 4);[8, 10, 300, 40];משיח;3568;(38, 9, 13, 1, 3568);ואחיהם;3;(38, 9, 13, 3, 14607);ואחיהם ראשים לבית אבותם אלף ושבע מאות וששים גבורי חיל מלאכת עבודת בית האלהים
(96597, 11, 4);[8, 10, 300, 40];משיח;23387;(39, 35, 9, 4, 23387);אחיו;2;(39, 35, 9, 23, 96597);וכונניהו ושמעיהו ונתנאל אחיו וחשביהו ויעיאל ויוזבד שרי הלוים הרימו ללוים לפסחים חמשת אלפים ובקר חמש מאות
(49556, 13, 4);[8, 10, 300, 40];משיח;11957;(39, 5, 3, 7, 11957);בחג;2;(39, 5, 3, 24, 49556);ויקהלו אל המלך כל איש ישראל בחג הוא החדש השבעי
(7735, 14, 4);[8, 10, 300, 40];משיח;1905;(38, 5, 24, 11, 1905);ויחדיאל;3;(38, 5, 24, 54, 7735);ואלה ראשי בית אבותם ועפר וישעי ואליאל ועזריאל וירמיה והודויה ויחדיאל אנשים גבורי חיל אנשי שמות ראשים לבית אבותם
(91008, 14, 4);[8, 10, 300, 40];משיח;22058;(39, 32, 21, 4, 22058);ויכחד;4;(39, 32, 21, 17, 91008);וישלח יהוה מלאך ויכחד כל גבור חיל ונגיד ושר במחנה מלך אשור וישב בבשת פנים לארצו ויבא בית אלהיו ומיציאו מעיו שם הפילהו בחרב
(98405, 15, 4);[8, 10, 300, 40];משיח;23795;(39, 36, 8, 19, 23795);תחתיו;2;(39, 36, 8, 84, 98405);ויתר דברי יהויקים ותעבתיו אשר עשה והנמצא עליו הנם כתובים על ספר מלכי ישראל ויהודה וימלך יהויכין בנו תחתיו
(20930, 16, 4);[8, 10, 300, 40];משיח;5086;(38, 12, 39, 10, 5086);חברונה;1;(38, 12, 39, 34, 20930);כל אלה אנשי מלחמה עדרי מערכה בלבב שלם באו חברונה להמליך את דויד על כל ישראל וגם כל שרית ישראל לב אחד להמליך את דויד
(46918, 16, 4);[8, 10, 300, 40];משיח;11329;(39, 2, 16, 17, 11329);וחמשים;2;(39, 2, 16, 69, 46918);ויספר שלמה כל האנשים הגירים אשר בארץ ישראל אחרי הספר אשר ספרם דויד אביו וימצאו מאה וחמשים אלף ושלשת אלפים ושש מאות
(5173, 18, 4);[8, 10, 300, 40];משיח;1286;(38, 4, 12, 9, 1286);תחנה;2;(38, 4, 12, 30, 5173);ואשתון הוליד את בית רפא ואת פסח ואת תחנה אבי עיר נחש אלה אנשי רכה
(29831, 18, 4);[8, 10, 300, 40];משיח;7248;(38, 19, 17, 18, 7248);וילחמו;4;(38, 19, 17, 76, 29831);ויגד לדויד ויאסף את כל ישראל ויעבר הירדן ויבא אלהם ויערך אלהם ויערך דויד לקראת ארם מלחמה וילחמו עמו
(1306, 19, 4);[8, 10, 300, 40];משיח;328;(38, 1, 44, 4, 328);תחתיו;2;(38, 1, 44, 14, 1306);וימת בלע וימלך תחתיו יובב בן זרח מבצרה
(28351, 19, 4);[8, 10, 300, 40];משיח;6883;(38, 18, 10, 27, 6883);ונחשת;3;(38, 18, 10, 103, 28351);וישלח את הדורם בנו אל המלך דויד לשאול לו לשלום ולברכו על אשר נלחם בהדדעזר ויכהו כי איש מלחמות תעו היה הדדעזר וכל כלי זהב וכסף ונחשת
(53819, 19, 4);[8, 10, 300, 40];משיח;13040;(39, 7, 8, 18, 13040);נחל;2;(39, 7, 8, 61, 53819);ויעש שלמה את החג בעת ההיא שבעת ימים וכל ישראל עמו קהל גדול מאד מלבוא חמת עד נחל מצרים
(3691, 20, 4);[8, 10, 300, 40];משיח;941;(38, 2, 54, 10, 941);המנחתי;4;(38, 2, 54, 40, 3691);בני שלמא בית לחם ונטופתי עטרות בית יואב וחצי המנחתי הצרעי
