(n, d, k);[Gematria of ELS];ELS Search Term;Found in WordNumber In Text;WordCoordinatesDWTK;Found in Word In Text;LetterPositionIndex In Word;LetterCoordinatesD5K of First Letter in ELS;Found In Verse
(28882, 3, 4);[8, 10, 300, 40];משיח;7362;(8, 17, 52, 16, 7362);חללי;1;(8, 17, 52, 67, 28882);ויקמו אנשי ישראל ויהודה וירעו וירדפו את הפלשתים עד בואך גיא ועד שערי עקרון ויפלו חללי פלשתים בדרך שערים ועד גת ועד עקרון
(17921, 7, 4);[8, 10, 300, 40];משיח;4556;(8, 13, 7, 13, 4556);חרדו;1;(8, 13, 7, 49, 17921);ועברים עברו את הירדן ארץ גד וגלעד ושאול עודנו בגלגל וכל העם חרדו אחריו
(47900, 8, 4);[8, 10, 300, 40];משיח;12375;(8, 29, 2, 9, 12375);באחרנה;3;(8, 29, 2, 46, 47900);וסרני פלשתים עברים למאות ולאלפים ודוד ואנשיו עברים באחרנה עם אכיש
(20312, 10, 4);[8, 10, 300, 40];משיח;5154;(8, 14, 23, 7, 5154);והמלחמה;5;(8, 14, 23, 29, 20312);ויושע יהוה ביום ההוא את ישראל והמלחמה עברה את בית און
(41811, 11, 4);[8, 10, 300, 40];משיח;10774;(8, 25, 18, 5, 10774);לחם;2;(8, 25, 18, 22, 41811);ותמהר אבוגיל ותקח מאתים לחם ושנים נבלי יין וחמש צאן עשוות וחמש סאים קלי ומאה צמקים ומאתים דבלים ותשם על החמרים
(27748, 15, 4);[8, 10, 300, 40];משיח;7074;(8, 17, 36, 15, 7074);חרף;1;(8, 17, 36, 47, 27748);גם את הארי גם הדב הכה עבדך והיה הפלשתי הערל הזה כאחד מהם כי חרף מערכת אלהים חיים
(10569, 18, 4);[8, 10, 300, 40];משיח;2690;(8, 8, 11, 11, 2690);יקח;3;(8, 8, 11, 41, 10569);ויאמר זה יהיה משפט המלך אשר ימלך עליכם את בניכם יקח ושם לו במרכבתו ובפרשיו ורצו לפני מרכבתו
(41804, 18, 4);[8, 10, 300, 40];משיח;10772;(8, 25, 18, 3, 10772);ותקח;4;(8, 25, 18, 15, 41804);ותמהר אבוגיל ותקח מאתים לחם ושנים נבלי יין וחמש צאן עשוות וחמש סאים קלי ומאה צמקים ומאתים דבלים ותשם על החמרים
(26251, 23, 4);[8, 10, 300, 40];משיח;6694;(8, 17, 12, 7, 6694);לחם;2;(8, 17, 12, 23, 26251);ודוד בן איש אפרתי הזה מבית לחם יהודה ושמו ישי ולו שמנה בנים והאיש בימי שאול זקן בא באנשים
(2875, 24, 4);[8, 10, 300, 40];משיח;762;(8, 2, 25, 2, 762);יחטא;2;(8, 2, 25, 4, 2875);אם יחטא איש לאיש ופללו אלהים ואם ליהוה יחטא איש מי יתפלל לו ולא ישמעו לקול אביהם כי חפץ יהוה להמיתם
(36085, 26, 4);[8, 10, 300, 40];משיח;9270;(8, 22, 1, 9, 9270);אחיו;2;(8, 22, 1, 33, 36085);וילך דוד משם וימלט אל מערת עדלם וישמעו אחיו וכל בית אביו וירדו אליו שמה
(50138, 27, 4);[8, 10, 300, 40];משיח;12966;(8, 30, 23, 6, 12966);אחי;2;(8, 30, 23, 18, 50138);ויאמר דוד לא תעשו כן אחי את אשר נתן יהוה לנו וישמר אתנו ויתן את הגדוד הבא עלינו בידנו
(50218, 31, 4);[8, 10, 300, 40];משיח;12988;(8, 30, 24, 9, 12988);במלחמה;4;(8, 30, 24, 31, 50218);ומי ישמע לכם לדבר הזה כי כחלק הירד במלחמה וכחלק הישב על הכלים יחדו יחלקו
(15758, 33, 4);[8, 10, 300, 40];משיח;3998;(8, 11, 15, 14, 3998);זבחים;3;(8, 11, 15, 53, 15758);וילכו כל העם הגלגל וימלכו שם את שאול לפני יהוה בגלגל ויזבחו שם זבחים שלמים לפני יהוה וישמח שם שאול וכל אנשי ישראל עד מאד
(25233, 35, 4);[8, 10, 300, 40];משיח;6442;(8, 16, 18, 2, 6442);אחד;2;(8, 16, 18, 6, 25233);ויען אחד מהנערים ויאמר הנה ראיתי בן לישי בית הלחמי ידע נגן וגבור חיל ואיש מלחמה ונבון דבר ואיש תאר ויהוה עמו
(25691, 35, 4);[8, 10, 300, 40];משיח;6560;(8, 17, 2, 9, 6560);מלחמה;3;(8, 17, 2, 41, 25691);ושאול ואיש ישראל נאספו ויחנו בעמק האלה ויערכו מלחמה לקראת פלשתים
(10418, 38, 4);[8, 10, 300, 40];משיח;2648;(8, 8, 8, 15, 2648);אחרים;2;(8, 8, 8, 64, 10418);ככל המעשים אשר עשו מיום העלתי אותם ממצרים ועד היום הזה ויעזבני ויעבדו אלהים אחרים כן המה עשים גם לך
(407, 39, 4);[8, 10, 300, 40];משיח;105;(8, 1, 8, 5, 105);חנה;1;(8, 1, 8, 17, 407);ויאמר לה אלקנה אישה חנה למה תבכי ולמה לא תאכלי ולמה ירע לבבך הלוא אנכי טוב לך מעשרה בנים
(3163, 40, 4);[8, 10, 300, 40];משיח;837;(8, 2, 29, 3, 837);בזבחי;4;(8, 2, 29, 12, 3163);למה תבעטו בזבחי ובמנחתי אשר צויתי מעון ותכבד את בניך ממני להבריאכם מראשית כל מנחת ישראל לעמי
(24885, 40, 4);[8, 10, 300, 40];משיח;6352;(8, 16, 12, 1, 6352);וישלח;5;(8, 16, 12, 5, 24885);וישלח ויביאהו והוא אדמוני עם יפה עינים וטוב ראי ויאמר יהוה קום משחהו כי זה הוא
(43961, 40, 4);[8, 10, 300, 40];משיח;11338;(8, 26, 6, 11, 11338);אחי;2;(8, 26, 6, 41, 43961);ויען דוד ויאמר אל אחימלך החתי ואל אבישי בן צרויה אחי יואב לאמר מי ירד אתי אל שאול אל המחנה ויאמר אבישי אני ארד עמך
(13145, 41, 4);[8, 10, 300, 40];משיח;3339;(8, 10, 2, 12, 3339);בצלצח;5;(8, 10, 2, 51, 13145);בלכתך היום מעמדי ומצאת שני אנשים עם קברת רחל בגבול בנימן בצלצח ואמרו אליך נמצאו האתנות אשר הלכת לבקש והנה נטש אביך את דברי האתנות ודאג לכם לאמר מה אעשה לבני
(46171, 44, 4);[8, 10, 300, 40];משיח;11931;(8, 28, 1, 7, 11931);מחניהם;2;(8, 28, 1, 28, 46171);ויהי בימים ההם ויקבצו פלשתים את מחניהם לצבא להלחם בישראל ויאמר אכיש אל דוד ידע תדע כי אתי תצא במחנה אתה ואנשיך
