WordCoordinatesDWTK;Word in Text;Letter Positions (n);(Word#, [Gematria LetterValues], Gematria WordTotal)
(13, 1, 1, 1, 1);דברי;[1, 2, 3, 4];(1, [4, 2, 200, 10], 216)
(13, 1, 1, 2, 2);ירמיהו;[5, 6, 7, 8, 9, 10];(2, [10, 200, 40, 10, 5, 6], 271)
(13, 1, 1, 3, 3);בן;[11, 12];(3, [2, 50], 52)
(13, 1, 1, 4, 4);חלקיהו;[13, 14, 15, 16, 17, 18];(4, [8, 30, 100, 10, 5, 6], 159)
(13, 1, 1, 5, 5);מן;[19, 20];(5, [40, 50], 90)
(13, 1, 1, 6, 6);הכהנים;[21, 22, 23, 24, 25, 26];(6, [5, 20, 5, 50, 10, 40], 130)
(13, 1, 1, 7, 7);אשר;[27, 28, 29];(7, [1, 300, 200], 501)
(13, 1, 1, 8, 8);בענתות;[30, 31, 32, 33, 34, 35];(8, [2, 70, 50, 400, 6, 400], 928)
(13, 1, 1, 9, 9);בארץ;[36, 37, 38, 39];(9, [2, 1, 200, 90], 293)
(13, 1, 1, 10, 10);בנימן;[40, 41, 42, 43, 44];(10, [2, 50, 10, 40, 50], 152)
(13, 1, 2, 1, 11);אשר;[45, 46, 47];(11, [1, 300, 200], 501)
(13, 1, 2, 2, 12);היה;[48, 49, 50];(12, [5, 10, 5], 20)
(13, 1, 2, 3, 13);דבר;[51, 52, 53];(13, [4, 2, 200], 206)
(13, 1, 2, 4, 14);יהוה;[54, 55, 56, 57];(14, [10, 5, 6, 5], 26)
(13, 1, 2, 5, 15);אליו;[58, 59, 60, 61];(15, [1, 30, 10, 6], 47)
(13, 1, 2, 6, 16);בימי;[62, 63, 64, 65];(16, [2, 10, 40, 10], 62)
(13, 1, 2, 7, 17);יאשיהו;[66, 67, 68, 69, 70, 71];(17, [10, 1, 300, 10, 5, 6], 332)
(13, 1, 2, 8, 18);בן;[72, 73];(18, [2, 50], 52)
(13, 1, 2, 9, 19);אמון;[74, 75, 76, 77];(19, [1, 40, 6, 50], 97)
(13, 1, 2, 10, 20);מלך;[78, 79, 80];(20, [40, 30, 20], 90)
(13, 1, 2, 11, 21);יהודה;[81, 82, 83, 84, 85];(21, [10, 5, 6, 4, 5], 30)
(13, 1, 2, 12, 22);בשלש;[86, 87, 88, 89];(22, [2, 300, 30, 300], 632)
(13, 1, 2, 13, 23);עשרה;[90, 91, 92, 93];(23, [70, 300, 200, 5], 575)
(13, 1, 2, 14, 24);שנה;[94, 95, 96];(24, [300, 50, 5], 355)
(13, 1, 2, 15, 25);למלכו;[97, 98, 99, 100, 101];(25, [30, 40, 30, 20, 6], 126)
(13, 1, 3, 1, 26);ויהי;[102, 103, 104, 105];(26, [6, 10, 5, 10], 31)
(13, 1, 3, 2, 27);בימי;[106, 107, 108, 109];(27, [2, 10, 40, 10], 62)
(13, 1, 3, 3, 28);יהויקים;[110, 111, 112, 113, 114, 115, 116];(28, [10, 5, 6, 10, 100, 10, 40], 181)
(13, 1, 3, 4, 29);בן;[117, 118];(29, [2, 50], 52)
(13, 1, 3, 5, 30);יאשיהו;[119, 120, 121, 122, 123, 124];(30, [10, 1, 300, 10, 5, 6], 332)
(13, 1, 3, 6, 31);מלך;[125, 126, 127];(31, [40, 30, 20], 90)
(13, 1, 3, 7, 32);יהודה;[128, 129, 130, 131, 132];(32, [10, 5, 6, 4, 5], 30)
(13, 1, 3, 8, 33);עד;[133, 134];(33, [70, 4], 74)
(13, 1, 3, 9, 34);תם;[135, 136];(34, [400, 40], 440)
(13, 1, 3, 10, 35);עשתי;[137, 138, 139, 140];(35, [70, 300, 400, 10], 780)
(13, 1, 3, 11, 36);עשרה;[141, 142, 143, 144];(36, [70, 300, 200, 5], 575)
(13, 1, 3, 12, 37);שנה;[145, 146, 147];(37, [300, 50, 5], 355)
(13, 1, 3, 13, 38);לצדקיהו;[148, 149, 150, 151, 152, 153, 154];(38, [30, 90, 4, 100, 10, 5, 6], 245)
(13, 1, 3, 14, 39);בן;[155, 156];(39, [2, 50], 52)
(13, 1, 3, 15, 40);יאשיהו;[157, 158, 159, 160, 161, 162];(40, [10, 1, 300, 10, 5, 6], 332)
(13, 1, 3, 16, 41);מלך;[163, 164, 165];(41, [40, 30, 20], 90)
(13, 1, 3, 17, 42);יהודה;[166, 167, 168, 169, 170];(42, [10, 5, 6, 4, 5], 30)
(13, 1, 3, 18, 43);עד;[171, 172];(43, [70, 4], 74)
(13, 1, 3, 19, 44);גלות;[173, 174, 175, 176];(44, [3, 30, 6, 400], 439)
(13, 1, 3, 20, 45);ירושלם;[177, 178, 179, 180, 181, 182];(45, [10, 200, 6, 300, 30, 40], 586)
(13, 1, 3, 21, 46);בחדש;[183, 184, 185, 186];(46, [2, 8, 4, 300], 314)
(13, 1, 3, 22, 47);החמישי;[187, 188, 189, 190, 191, 192];(47, [5, 8, 40, 10, 300, 10], 373)
(13, 1, 4, 1, 48);ויהי;[193, 194, 195, 196];(48, [6, 10, 5, 10], 31)
(13, 1, 4, 2, 49);דבר;[197, 198, 199];(49, [4, 2, 200], 206)
(13, 1, 4, 3, 50);יהוה;[200, 201, 202, 203];(50, [10, 5, 6, 5], 26)
(13, 1, 4, 4, 51);אלי;[204, 205, 206];(51, [1, 30, 10], 41)
(13, 1, 4, 5, 52);לאמר;[207, 208, 209, 210];(52, [30, 1, 40, 200], 271)
(13, 1, 5, 1, 53);בטרם;[211, 212, 213, 214];(53, [2, 9, 200, 40], 251)
(13, 1, 5, 2, 54);אצורך;[215, 216, 217, 218, 219];(54, [1, 90, 6, 200, 20], 317)
(13, 1, 5, 3, 55);בבטן;[220, 221, 222, 223];(55, [2, 2, 9, 50], 63)
(13, 1, 5, 4, 56);ידעתיך;[224, 225, 226, 227, 228, 229];(56, [10, 4, 70, 400, 10, 20], 514)
(13, 1, 5, 5, 57);ובטרם;[230, 231, 232, 233, 234];(57, [6, 2, 9, 200, 40], 257)
(13, 1, 5, 6, 58);תצא;[235, 236, 237];(58, [400, 90, 1], 491)
(13, 1, 5, 7, 59);מרחם;[238, 239, 240, 241];(59, [40, 200, 8, 40], 288)
(13, 1, 5, 8, 60);הקדשתיך;[242, 243, 244, 245, 246, 247, 248];(60, [5, 100, 4, 300, 400, 10, 20], 839)
(13, 1, 5, 9, 61);נביא;[249, 250, 251, 252];(61, [50, 2, 10, 1], 63)
(13, 1, 5, 10, 62);לגוים;[253, 254, 255, 256, 257];(62, [30, 3, 6, 10, 40], 89)
(13, 1, 5, 11, 63);נתתיך;[258, 259, 260, 261, 262];(63, [50, 400, 400, 10, 20], 880)
(13, 1, 6, 1, 64);ואמר;[263, 264, 265, 266];(64, [6, 1, 40, 200], 247)
(13, 1, 6, 2, 65);אהה;[267, 268, 269];(65, [1, 5, 5], 11)
(13, 1, 6, 3, 66);אדני;[270, 271, 272, 273];(66, [1, 4, 50, 10], 65)
(13, 1, 6, 4, 67);יהוה;[274, 275, 276, 277];(67, [10, 5, 6, 5], 26)
(13, 1, 6, 5, 68);הנה;[278, 279, 280];(68, [5, 50, 5], 60)
(13, 1, 6, 6, 69);לא;[281, 282];(69, [30, 1], 31)
(13, 1, 6, 7, 70);ידעתי;[283, 284, 285, 286, 287];(70, [10, 4, 70, 400, 10], 494)
(13, 1, 6, 8, 71);דבר;[288, 289, 290];(71, [4, 2, 200], 206)
(13, 1, 6, 9, 72);כי;[291, 292];(72, [20, 10], 30)
(13, 1, 6, 10, 73);נער;[293, 294, 295];(73, [50, 70, 200], 320)
(13, 1, 6, 11, 74);אנכי;[296, 297, 298, 299];(74, [1, 50, 20, 10], 81)
(13, 1, 7, 1, 75);ויאמר;[300, 301, 302, 303, 304];(75, [6, 10, 1, 40, 200], 257)
(13, 1, 7, 2, 76);יהוה;[305, 306, 307, 308];(76, [10, 5, 6, 5], 26)
(13, 1, 7, 3, 77);אלי;[309, 310, 311];(77, [1, 30, 10], 41)
(13, 1, 7, 4, 78);אל;[312, 313];(78, [1, 30], 31)
(13, 1, 7, 5, 79);תאמר;[314, 315, 316, 317];(79, [400, 1, 40, 200], 641)
(13, 1, 7, 6, 80);נער;[318, 319, 320];(80, [50, 70, 200], 320)
(13, 1, 7, 7, 81);אנכי;[321, 322, 323, 324];(81, [1, 50, 20, 10], 81)
(13, 1, 7, 8, 82);כי;[325, 326];(82, [20, 10], 30)
(13, 1, 7, 9, 83);על;[327, 328];(83, [70, 30], 100)
(13, 1, 7, 10, 84);כל;[329, 330];(84, [20, 30], 50)
(13, 1, 7, 11, 85);אשר;[331, 332, 333];(85, [1, 300, 200], 501)
(13, 1, 7, 12, 86);אשלחך;[334, 335, 336, 337, 338];(86, [1, 300, 30, 8, 20], 359)
(13, 1, 7, 13, 87);תלך;[339, 340, 341];(87, [400, 30, 20], 450)
