WordCoordinatesDWTK;Word in Text;Letter Positions (n);(Word#, [Gematria LetterValues], Gematria WordTotal)
(17, 1, 1, 1, 1);דברי;[1, 2, 3, 4];(1, [4, 2, 200, 10], 216)
(17, 1, 1, 2, 2);עמוס;[5, 6, 7, 8];(2, [70, 40, 6, 60], 176)
(17, 1, 1, 3, 3);אשר;[9, 10, 11];(3, [1, 300, 200], 501)
(17, 1, 1, 4, 4);היה;[12, 13, 14];(4, [5, 10, 5], 20)
(17, 1, 1, 5, 5);בנקדים;[15, 16, 17, 18, 19, 20];(5, [2, 50, 100, 4, 10, 40], 206)
(17, 1, 1, 6, 6);מתקוע;[21, 22, 23, 24, 25];(6, [40, 400, 100, 6, 70], 616)
(17, 1, 1, 7, 7);אשר;[26, 27, 28];(7, [1, 300, 200], 501)
(17, 1, 1, 8, 8);חזה;[29, 30, 31];(8, [8, 7, 5], 20)
(17, 1, 1, 9, 9);על;[32, 33];(9, [70, 30], 100)
(17, 1, 1, 10, 10);ישראל;[34, 35, 36, 37, 38];(10, [10, 300, 200, 1, 30], 541)
(17, 1, 1, 11, 11);בימי;[39, 40, 41, 42];(11, [2, 10, 40, 10], 62)
(17, 1, 1, 12, 12);עזיה;[43, 44, 45, 46];(12, [70, 7, 10, 5], 92)
(17, 1, 1, 13, 13);מלך;[47, 48, 49];(13, [40, 30, 20], 90)
(17, 1, 1, 14, 14);יהודה;[50, 51, 52, 53, 54];(14, [10, 5, 6, 4, 5], 30)
(17, 1, 1, 15, 15);ובימי;[55, 56, 57, 58, 59];(15, [6, 2, 10, 40, 10], 68)
(17, 1, 1, 16, 16);ירבעם;[60, 61, 62, 63, 64];(16, [10, 200, 2, 70, 40], 322)
(17, 1, 1, 17, 17);בן;[65, 66];(17, [2, 50], 52)
(17, 1, 1, 18, 18);יואש;[67, 68, 69, 70];(18, [10, 6, 1, 300], 317)
(17, 1, 1, 19, 19);מלך;[71, 72, 73];(19, [40, 30, 20], 90)
(17, 1, 1, 20, 20);ישראל;[74, 75, 76, 77, 78];(20, [10, 300, 200, 1, 30], 541)
(17, 1, 1, 21, 21);שנתים;[79, 80, 81, 82, 83];(21, [300, 50, 400, 10, 40], 800)
(17, 1, 1, 22, 22);לפני;[84, 85, 86, 87];(22, [30, 80, 50, 10], 170)
(17, 1, 1, 23, 23);הרעש;[88, 89, 90, 91];(23, [5, 200, 70, 300], 575)
(17, 1, 2, 1, 24);ויאמר;[92, 93, 94, 95, 96];(24, [6, 10, 1, 40, 200], 257)
(17, 1, 2, 2, 25);יהוה;[97, 98, 99, 100];(25, [10, 5, 6, 5], 26)
(17, 1, 2, 3, 26);מציון;[101, 102, 103, 104, 105];(26, [40, 90, 10, 6, 50], 196)
(17, 1, 2, 4, 27);ישאג;[106, 107, 108, 109];(27, [10, 300, 1, 3], 314)
(17, 1, 2, 5, 28);ומירושלם;[110, 111, 112, 113, 114, 115, 116, 117];(28, [6, 40, 10, 200, 6, 300, 30, 40], 632)
(17, 1, 2, 6, 29);יתן;[118, 119, 120];(29, [10, 400, 50], 460)
(17, 1, 2, 7, 30);קולו;[121, 122, 123, 124];(30, [100, 6, 30, 6], 142)
(17, 1, 2, 8, 31);ואבלו;[125, 126, 127, 128, 129];(31, [6, 1, 2, 30, 6], 45)
(17, 1, 2, 9, 32);נאות;[130, 131, 132, 133];(32, [50, 1, 6, 400], 457)
(17, 1, 2, 10, 33);הרעים;[134, 135, 136, 137, 138];(33, [5, 200, 70, 10, 40], 325)
(17, 1, 2, 11, 34);ויבש;[139, 140, 141, 142];(34, [6, 10, 2, 300], 318)
(17, 1, 2, 12, 35);ראש;[143, 144, 145];(35, [200, 1, 300], 501)
(17, 1, 2, 13, 36);הכרמל;[146, 147, 148, 149, 150];(36, [5, 20, 200, 40, 30], 295)
(17, 1, 3, 1, 37);כה;[151, 152];(37, [20, 5], 25)
(17, 1, 3, 2, 38);אמר;[153, 154, 155];(38, [1, 40, 200], 241)
(17, 1, 3, 3, 39);יהוה;[156, 157, 158, 159];(39, [10, 5, 6, 5], 26)
(17, 1, 3, 4, 40);על;[160, 161];(40, [70, 30], 100)
(17, 1, 3, 5, 41);שלשה;[162, 163, 164, 165];(41, [300, 30, 300, 5], 635)
(17, 1, 3, 6, 42);פשעי;[166, 167, 168, 169];(42, [80, 300, 70, 10], 460)
(17, 1, 3, 7, 43);דמשק;[170, 171, 172, 173];(43, [4, 40, 300, 100], 444)
(17, 1, 3, 8, 44);ועל;[174, 175, 176];(44, [6, 70, 30], 106)
(17, 1, 3, 9, 45);ארבעה;[177, 178, 179, 180, 181];(45, [1, 200, 2, 70, 5], 278)
