WordCoordinatesDWTK;Word in Text;Letter Positions (n);(Word#, [Gematria LetterValues], Gematria WordTotal)
(23, 1, 1, 1, 1);דבר;[1, 2, 3];(1, [4, 2, 200], 206)
(23, 1, 1, 2, 2);יהוה;[4, 5, 6, 7];(2, [10, 5, 6, 5], 26)
(23, 1, 1, 3, 3);אשר;[8, 9, 10];(3, [1, 300, 200], 501)
(23, 1, 1, 4, 4);היה;[11, 12, 13];(4, [5, 10, 5], 20)
(23, 1, 1, 5, 5);אל;[14, 15];(5, [1, 30], 31)
(23, 1, 1, 6, 6);צפניה;[16, 17, 18, 19, 20];(6, [90, 80, 50, 10, 5], 235)
(23, 1, 1, 7, 7);בן;[21, 22];(7, [2, 50], 52)
(23, 1, 1, 8, 8);כושי;[23, 24, 25, 26];(8, [20, 6, 300, 10], 336)
(23, 1, 1, 9, 9);בן;[27, 28];(9, [2, 50], 52)
(23, 1, 1, 10, 10);גדליה;[29, 30, 31, 32, 33];(10, [3, 4, 30, 10, 5], 52)
(23, 1, 1, 11, 11);בן;[34, 35];(11, [2, 50], 52)
(23, 1, 1, 12, 12);אמריה;[36, 37, 38, 39, 40];(12, [1, 40, 200, 10, 5], 256)
(23, 1, 1, 13, 13);בן;[41, 42];(13, [2, 50], 52)
(23, 1, 1, 14, 14);חזקיה;[43, 44, 45, 46, 47];(14, [8, 7, 100, 10, 5], 130)
(23, 1, 1, 15, 15);בימי;[48, 49, 50, 51];(15, [2, 10, 40, 10], 62)
(23, 1, 1, 16, 16);יאשיהו;[52, 53, 54, 55, 56, 57];(16, [10, 1, 300, 10, 5, 6], 332)
(23, 1, 1, 17, 17);בן;[58, 59];(17, [2, 50], 52)
(23, 1, 1, 18, 18);אמון;[60, 61, 62, 63];(18, [1, 40, 6, 50], 97)
(23, 1, 1, 19, 19);מלך;[64, 65, 66];(19, [40, 30, 20], 90)
(23, 1, 1, 20, 20);יהודה;[67, 68, 69, 70, 71];(20, [10, 5, 6, 4, 5], 30)
(23, 1, 2, 1, 21);אסף;[72, 73, 74];(21, [1, 60, 80], 141)
(23, 1, 2, 2, 22);אסף;[75, 76, 77];(22, [1, 60, 80], 141)
(23, 1, 2, 3, 23);כל;[78, 79];(23, [20, 30], 50)
(23, 1, 2, 4, 24);מעל;[80, 81, 82];(24, [40, 70, 30], 140)
(23, 1, 2, 5, 25);פני;[83, 84, 85];(25, [80, 50, 10], 140)
(23, 1, 2, 6, 26);האדמה;[86, 87, 88, 89, 90];(26, [5, 1, 4, 40, 5], 55)
(23, 1, 2, 7, 27);נאם;[91, 92, 93];(27, [50, 1, 40], 91)
(23, 1, 2, 8, 28);יהוה;[94, 95, 96, 97];(28, [10, 5, 6, 5], 26)
(23, 1, 3, 1, 29);אסף;[98, 99, 100];(29, [1, 60, 80], 141)
(23, 1, 3, 2, 30);אדם;[101, 102, 103];(30, [1, 4, 40], 45)
(23, 1, 3, 3, 31);ובהמה;[104, 105, 106, 107, 108];(31, [6, 2, 5, 40, 5], 58)
(23, 1, 3, 4, 32);אסף;[109, 110, 111];(32, [1, 60, 80], 141)
(23, 1, 3, 5, 33);עוף;[112, 113, 114];(33, [70, 6, 80], 156)
(23, 1, 3, 6, 34);השמים;[115, 116, 117, 118, 119];(34, [5, 300, 40, 10, 40], 395)
(23, 1, 3, 7, 35);ודגי;[120, 121, 122, 123];(35, [6, 4, 3, 10], 23)
(23, 1, 3, 8, 36);הים;[124, 125, 126];(36, [5, 10, 40], 55)
(23, 1, 3, 9, 37);והמכשלות;[127, 128, 129, 130, 131, 132, 133, 134];(37, [6, 5, 40, 20, 300, 30, 6, 400], 807)
(23, 1, 3, 10, 38);את;[135, 136];(38, [1, 400], 401)
(23, 1, 3, 11, 39);הרשעים;[137, 138, 139, 140, 141, 142];(39, [5, 200, 300, 70, 10, 40], 625)
(23, 1, 3, 12, 40);והכרתי;[143, 144, 145, 146, 147, 148];(40, [6, 5, 20, 200, 400, 10], 641)
(23, 1, 3, 13, 41);את;[149, 150];(41, [1, 400], 401)
(23, 1, 3, 14, 42);האדם;[151, 152, 153, 154];(42, [5, 1, 4, 40], 50)
(23, 1, 3, 15, 43);מעל;[155, 156, 157];(43, [40, 70, 30], 140)
(23, 1, 3, 16, 44);פני;[158, 159, 160];(44, [80, 50, 10], 140)
(23, 1, 3, 17, 45);האדמה;[161, 162, 163, 164, 165];(45, [5, 1, 4, 40, 5], 55)
(23, 1, 3, 18, 46);נאם;[166, 167, 168];(46, [50, 1, 40], 91)
(23, 1, 3, 19, 47);יהוה;[169, 170, 171, 172];(47, [10, 5, 6, 5], 26)
(23, 1, 4, 1, 48);ונטיתי;[173, 174, 175, 176, 177, 178];(48, [6, 50, 9, 10, 400, 10], 485)
(23, 1, 4, 2, 49);ידי;[179, 180, 181];(49, [10, 4, 10], 24)
(23, 1, 4, 3, 50);על;[182, 183];(50, [70, 30], 100)
(23, 1, 4, 4, 51);יהודה;[184, 185, 186, 187, 188];(51, [10, 5, 6, 4, 5], 30)
(23, 1, 4, 5, 52);ועל;[189, 190, 191];(52, [6, 70, 30], 106)
(23, 1, 4, 6, 53);כל;[192, 193];(53, [20, 30], 50)
(23, 1, 4, 7, 54);יושבי;[194, 195, 196, 197, 198];(54, [10, 6, 300, 2, 10], 328)
(23, 1, 4, 8, 55);ירושלם;[199, 200, 201, 202, 203, 204];(55, [10, 200, 6, 300, 30, 40], 586)
(23, 1, 4, 9, 56);והכרתי;[205, 206, 207, 208, 209, 210];(56, [6, 5, 20, 200, 400, 10], 641)
(23, 1, 4, 10, 57);מן;[211, 212];(57, [40, 50], 90)
(23, 1, 4, 11, 58);המקום;[213, 214, 215, 216, 217];(58, [5, 40, 100, 6, 40], 191)
(23, 1, 4, 12, 59);הזה;[218, 219, 220];(59, [5, 7, 5], 17)
(23, 1, 4, 13, 60);את;[221, 222];(60, [1, 400], 401)
(23, 1, 4, 14, 61);שאר;[223, 224, 225];(61, [300, 1, 200], 501)
(23, 1, 4, 15, 62);הבעל;[226, 227, 228, 229];(62, [5, 2, 70, 30], 107)
(23, 1, 4, 16, 63);את;[230, 231];(63, [1, 400], 401)
(23, 1, 4, 17, 64);שם;[232, 233];(64, [300, 40], 340)
(23, 1, 4, 18, 65);הכמרים;[234, 235, 236, 237, 238, 239];(65, [5, 20, 40, 200, 10, 40], 315)
(23, 1, 4, 19, 66);עם;[240, 241];(66, [70, 40], 110)
(23, 1, 4, 20, 67);הכהנים;[242, 243, 244, 245, 246, 247];(67, [5, 20, 5, 50, 10, 40], 130)
(23, 1, 5, 1, 68);ואת;[248, 249, 250];(68, [6, 1, 400], 407)
(23, 1, 5, 2, 69);המשתחוים;[251, 252, 253, 254, 255, 256, 257, 258];(69, [5, 40, 300, 400, 8, 6, 10, 40], 809)
(23, 1, 5, 3, 70);על;[259, 260];(70, [70, 30], 100)
